scorer_short_name,nationality_name,total_game_changing_goals,avg_elo_improvement,fc26_overall_rating
Ahmed Mubarak Al-Mahaijri,,5,No Elo Data,
Ahmed Musa,Saudi Arabia,4,-2.67,61.0
Ahmed Nashid,,1,No Elo Data,
Ahmed Niyaz,,1,No Elo Data,
Ahmed Ouattara,,3,No Elo Data,
Ahmed Radhi,,7,No Elo Data,
Ahmed Saad Osman,,3,No Elo Data,
Ahmed Sayed,,1,No Elo Data,
Ahmed Thoriq,,1,No Elo Data,
Ahmed Touba,Algeria,1,-95.0,70.0
Ahmed Yasin Ghani,,2,No Elo Data,
Ahmed Zuway,,1,No Elo Data,
Ahn Jung-hwan,,4,No Elo Data,
Aias Aosman,,1,No Elo Data,
Aiden McGeady,,2,No Elo Data,
Aiman Dardari,Luxembourg,1,No Elo Data,62.0
Ainārs Linards,,1,No Elo Data,
Aisam Ibrahim,,1,No Elo Data,
Ajdin Hrustic,Australia,3,-1.67,67.0
Akaki Khubutia,,1,No Elo Data,
Akbar Eftekhari,,1,No Elo Data,
Akbar Kargarjam,,1,No Elo Data,
Akhtam Khamrakulov,,1,No Elo Data,
Aki Heiskanen,,2,No Elo Data,
Aki Hyryläinen,,1,No Elo Data,
Aki Riihilahti,,1,No Elo Data,
Akinori Nishizawa,,3,No Elo Data,
Akira Kaji,,1,No Elo Data,
Akmal Kholmatov,,1,No Elo Data,
Akmal Rizal Ahmad Rakhli,,2,No Elo Data,
Akmal Shorakhmedov,,1,No Elo Data,
Akram Afif,,8,No Elo Data,
Akram Moghrabi,,1,No Elo Data,
Akram Tawfik,,1,No Elo Data,
Akram Zuway,,1,No Elo Data,
Akuetteh Armah,,1,No Elo Data,
Akwá,,10,No Elo Data,
Al Zerhusen,,1,No Elo Data,
Alaa Abbas,,1,No Elo Data,
Alaa Abdul-Zahra,,1,No Elo Data,
Alaa Al Dali,,2,No Elo Data,
Alaa El-Hamouly,,1,No Elo Data,
Alaa Kadhim,,2,No Elo Data,
Alaa Mayhoub,,1,No Elo Data,
Alain Boghossian,,1,No Elo Data,
Alain Cervantes,,1,No Elo Data,
Alain Geiger,,1,No Elo Data,
Alain Giresse,,1,No Elo Data,
Alain N'Kong,,1,No Elo Data,
Alain Nana,,1,No Elo Data,
Alain Sutter,,2,No Elo Data,
Alain Traoré,,5,No Elo Data,
Alan Browne,,1,No Elo Data,
Alan Durban,,1,No Elo Data,
Alan Dzagoev,,3,No Elo Data,
Alan Gilzean,,3,No Elo Data,
Alan Marley,,1,No Elo Data,
Alan McLoughlin,,1,No Elo Data,
Alan Shearer,,10,No Elo Data,
Alan Smith,,1,No Elo Data,
Alan Vest,,1,No Elo Data,
Alassane Ouédraogo,,1,No Elo Data,
Alban Bushi,,3,No Elo Data,
Albeiro Usuriaga,,1,No Elo Data,
Albert Bell,,1,No Elo Data,
Albert Brülls,,1,No Elo Data,
Albert Grønbæk,Denmark,1,No Elo Data,74.0
Albert Guðmundsson,Iceland,3,No Elo Data,79.0
Albert Hurgronje,,1,No Elo Data,
Albert Luque,,2,No Elo Data,
Albert Meyong,,1,No Elo Data,
Albert Nađ,,1,No Elo Data,
Albert Riera,,1,No Elo Data,
Albert Rosas,,4,No Elo Data,
Albert Rusnák,Slovakia,2,No Elo Data,75.0
Albert Sarkisyan,,1,No Elo Data,
Alberth Elis,,2,No Elo Data,
Alberto Aquilani,,2,No Elo Data,
Alberto Bica,,1,No Elo Data,
Alberto Carvalhal,,1,No Elo Data,
Alberto Doesburg,,1,No Elo Data,
Alberto Fonseca,,2,No Elo Data,
Alberto Gallardo,,2,No Elo Data,
Alberto García Aspe,,6,No Elo Data,
Alberto Gilardino,,6,No Elo Data,
Alberto Górriz,,1,No Elo Data,
Alberto Medina,,1,No Elo Data,
Alberto Montaño,,1,No Elo Data,
Alberto Montellanos,,2,No Elo Data,
Alberto Ohaco,,2,No Elo Data,
Alberto Quintero,,2,No Elo Data,
Alberto Rendo,,1,No Elo Data,
Alberto Spencer,,2,No Elo Data,
Alberto Terry,,3,No Elo Data,
Alberto Zozaya,,1,No Elo Data,
Alberts Šeibelis,,5,No Elo Data,
Albin Granlund,,1,No Elo Data,
Albino Rodríguez,,1,No Elo Data,
Alcides Ghiggia,,2,No Elo Data,
Alcides Peña,,1,No Elo Data,
Alcides Silveira,,2,No Elo Data,
Aldair,Brazil,1,45.0,74.0
Alderman Lesmond,,1,No Elo Data,
Aldo Donelli,,2,No Elo Data,
Aldo de Nigris,,3,No Elo Data,
Alejandrino Genés,,2,No Elo Data,
Alejandro Chumacero,,2,No Elo Data,
Alejandro Cichero,,2,No Elo Data,
Alejandro Galindo,,1,No Elo Data,
Alejandro Guerra,,1,No Elo Data,
Alejandro Moreno,,1,No Elo Data,
Alejandro Romero Gamarra,,2,No Elo Data,
Alejandro Scopelli,,1,No Elo Data,
Alejandro Villanueva,,1,No Elo Data,
Alekos Alexandris,,1,No Elo Data,
Alekos Alexiadis,,1,No Elo Data,
Aleks Petkov,,1,No Elo Data,
Aleksa Terzić,Serbia,1,No Elo Data,72.0
Aleksandar Dragović,Austria,1,-56.0,74.0
Aleksandar Katai,,1,No Elo Data,
Aleksandar Kolarov,,4,No Elo Data,
Aleksandar Mitrović,,19,No Elo Data,
Aleksandar Petaković,,1,No Elo Data,
Aleksandar Prijović,,1,No Elo Data,
Aleksandar Stanković,Serbia,1,No Elo Data,66.0
Aleksandar Tirnanić,,1,No Elo Data,
Aleksandar Tonev,,1,No Elo Data,
Aleksandar Trajkovski,,9,No Elo Data,
Aleksandar Trifunović,,1,No Elo Data,
Aleksandar Tunchev,,1,No Elo Data,
Aleksandar Vasoski,,1,No Elo Data,
Aleksandar Đurić,,4,No Elo Data,
Aleksander Knavs,,2,No Elo Data,
Aleksandr Amisulashvili,,1,No Elo Data,
Aleksandr Gorshkov,,2,No Elo Data,
Aleksandr Iashvili,,2,No Elo Data,
Aleksandr Kerzhakov,,9,No Elo Data,
Aleksandr Kokorin,,1,No Elo Data,
Aleksandr Marochkin,,1,No Elo Data,
Aleksandr Merzlikin,,1,No Elo Data,
Aleksandr Mishchenko,,1,No Elo Data,
Aleksandr Mostovoi,,4,No Elo Data,
Aleksandr Panov,,1,No Elo Data,
Aleksandr Samedov,,1,No Elo Data,
Aleksandr Shadrin,,1,No Elo Data,
Aleksandr Yerokhin,,2,No Elo Data,
Aleksandre Chivadze,,2,No Elo Data,
Aleksandre Karapetian,,3,No Elo Data,
Aleksandrs Cauņa,,5,No Elo Data,
Aleksandrs Jeļisejevs,,3,No Elo Data,
Aleksandrs Priede,,1,No Elo Data,
Aleksei Ionov,,1,No Elo Data,
Aleksei Miranchuk,,1,No Elo Data,
Aleksejs Višņakovs,,1,No Elo Data,
Alen Bokšić,,2,No Elo Data,
Alessandro Altobelli,,4,No Elo Data,
Alessandro Bastoni,Italy,1,No Elo Data,87.0
Alessandro Costacurta,,1,No Elo Data,
Alessandro Del Piero,,9,No Elo Data,
Alessandro Della Valle,,2,No Elo Data,
Alessandro Florenzi,,2,No Elo Data,
Alessandro Golinucci,,1,No Elo Data,
Alessandro Schöpf,,2,No Elo Data,
Alex Brosque,,3,No Elo Data,
Alex Bunbury,,5,No Elo Data,
Alex Chola,,2,No Elo Data,
Alex Iwobi,,3,No Elo Data,
Alex Král,Czechia,1,No Elo Data,74.0
Alex Matthias Tamm,,1,No Elo Data,
Alex Nyarko,,1,No Elo Data,
Alex Oxlade-Chamberlain,,1,No Elo Data,
Alex Pineda Chacón,,1,No Elo Data,
Alex Roldan,,2,No Elo Data,
Alex Sandro,,1,No Elo Data,
Alex Tobin,,1,No Elo Data,
Alex Valderrama,,1,No Elo Data,
Alex Young,,1,No Elo Data,
Alexander Cruzata,,2,No Elo Data,
Alexander Djiku,,3,No Elo Data,
Alexander Frei,,10,No Elo Data,
Alexander Geynrikh,,7,No Elo Data,
Alexander Hleb,,1,No Elo Data,
Alexander Horváth,,1,No Elo Data,
Alexander Isak,Sweden,4,20.67,88.0
Alexander Kačaniklić,,1,No Elo Data,
Alexander Khatskevich,,2,No Elo Data,
Alexander Larín,,1,No Elo Data,
Alexander López,,2,No Elo Data,
Alexander Riley,,1,No Elo Data,
Alexander Ring,Finland,1,No Elo Data,70.0
Alexander Søderlund,,1,No Elo Data,
Alexander Sørloth,Norway,9,36.4,84.0
Alexander Tettey,,1,No Elo Data,
Alexander Viveros,,1,No Elo Data,
Alexandr Korzanov,,1,No Elo Data,
Alexandre Boucicaut,,1,No Elo Data,
Alexandre Czerniatynski,,3,No Elo Data,
Alexandre Pato,,1,No Elo Data,
Alexandre Rey,,1,No Elo Data,
Alexandros Tziolis,,1,No Elo Data,
Alexandru Chipciu,,1,No Elo Data,
Alexandru Cicâldău,Romania,1,No Elo Data,68.0
Alexandru Curtianu,,2,No Elo Data,
Alexandru Dedov,,1,No Elo Data,
Alexandru Epureanu,,2,No Elo Data,
Alexandru Gațcan,,2,No Elo Data,
Alexandru Maxim,,2,No Elo Data,
Alexandru Mitriță,,1,No Elo Data,
Alexandru Neagu,,3,No Elo Data,
Alexandru Suvorov,,1,No Elo Data,
Alexei Eremenko,,2,No Elo Data,
Alexei Klishin,,1,No Elo Data,
Alexi Lalas,,1,No Elo Data,
Alexis Alexandris,,1,No Elo Data,
Alexis Mac Allister,Argentina,2,6.0,87.0
Alexis Saddler,,1,No Elo Data,
Alexis Sánchez,Chile,13,No Elo Data,76.0
Alexis Vega,Mexico,2,19.5,78.0
Alexsandro de Souza,,4,No Elo Data,
Alf Martinsen,,1,No Elo Data,
Alfa Potowabawi,,1,No Elo Data,
Alfaz Ahmed,,2,No Elo Data,
Alfons Amade,,1,No Elo Data,
Alfonso Domínguez,,3,No Elo Data,
Alfonso Pérez,,4,No Elo Data,
Alfonso Rodríguez Salas,,1,No Elo Data,
Alfonso Yáñez,,1,No Elo Data,
Alfred Aston,,1,No Elo Data,
Alfred Bickel,,1,No Elo Data,
Alfred Effiong,,1,No Elo Data,
Alfred Heiß,,1,No Elo Data,
Alfred Scheiwiler,,1,No Elo Data,
Alfred Wabealo,,2,No Elo Data,
Alfredo Di Stéfano,,5,No Elo Data,
Alfredo Hernández,,2,No Elo Data,
Alfredo Megido,,1,No Elo Data,
Alfredo Mendoza,,5,No Elo Data,
Alfredo Mosquera,,2,No Elo Data,
Alfredo Pacheco,,4,No Elo Data,
Alfredo Torres,,1,No Elo Data,
Alfredo del Águila,,1,No Elo Data,
Alfreð Finnbogason,,4,No Elo Data,
Alhaji Kamara,,2,No Elo Data,
Alhassane Bangoura,,1,No Elo Data,
Alhassane Issoufou,,2,No Elo Data,
Ali Abdi,Tunisia,1,17.0,76.0
Ali Abo Greisha,,2,No Elo Data,
Ali Adnan Kadhim,,3,No Elo Data,
Ali Afif,,1,No Elo Data,
Ali Al Saadi,,1,No Elo Data,
Ali Al-Beshari,,3,No Elo Data,
Ali Al-Bulaihi,,1,No Elo Data,
Ali Al-Busaidi,,1,No Elo Data,
Ali Al-Hadyah,,1,No Elo Data,
Ali Al-Nono,,3,No Elo Data,
Ali Asel,,1,No Elo Data,
Ali Ashfaq,,2,No Elo Data,
Ali Assadalla,,1,No Elo Data,
Ali Bala,,1,No Elo Data,
Ali Cheikh Dib,,1,No Elo Data,
Ali Daei,,18,No Elo Data,
Ali Diab,,1,No Elo Data,
Ali El-Hassany,,1,No Elo Data,
Ali Elmusrati,,1,No Elo Data,
Ali Fasir,,1,No Elo Data,
Ali Fergani,,1,No Elo Data,
Ali Gagarin,,4,No Elo Data,
Ali Gerba,,4,No Elo Data,
Ali Gholizadeh,Iran,1,74.0,71.0
Ali Jabbari,,2,No Elo Data,
Ali Kaabi,,2,No Elo Data,
Ali Karimi,Iran,4,-15.67,67.0
Ali Khalil,,1,No Elo Data,
Ali Mabkhout,,13,No Elo Data,
Ali Madan,,1,No Elo Data,
Ali Maher,,2,No Elo Data,
Ali Marwi,,2,No Elo Data,
Ali Meçabih,,2,No Elo Data,
Ali Mohamed Riad,,2,No Elo Data,
Ali Mohammed Al-Saadah,,1,No Elo Data,
Ali Nasseredine,,2,No Elo Data,
Ali Olwan,,4,No Elo Data,
Ali Parvin,,2,No Elo Data,
Ali Salama,,1,No Elo Data,
Ali Salmeen,,1,No Elo Data,
Ali Samooh,,1,No Elo Data,
Ali Sylla,,1,No Elo Data,
Ali Thani Jumaa,,1,No Elo Data,
Ali Umar,,1,No Elo Data,
Ali Zitouni,,4,No Elo Data,
Ali'i Mitchell,,1,No Elo Data,
Aliaksandr Kulchiy,,1,No Elo Data,
Alicio Solalinde,,1,No Elo Data,
Alick Saurei,,1,No Elo Data,
Alier Ashurmamadov,,1,No Elo Data,
Alieu Fadera,Gambia,1,No Elo Data,71.0
Alimardon Shukurov,,1,No Elo Data,
Alin Toșca,,1,No Elo Data,
Alireza Azizi,,1,No Elo Data,
Alireza Jahanbakhsh,,7,No Elo Data,
Alireza Khorshidi,,1,No Elo Data,
Alireza Mansourian,,2,No Elo Data,
Alireza Vahedi Nikbakht,,3,No Elo Data,
Alirou Rachidou,,1,No Elo Data,
Alisher Dzhalilov,,1,No Elo Data,
Alivate Driu,,1,No Elo Data,
Aljaž Struna,,1,No Elo Data,
Alkhaly Bangoura,,1,No Elo Data,
Allan Boath,,1,No Elo Data,
Allan Clarke,,2,No Elo Data,
Allan Hansen,,1,No Elo Data,
Allan Mørkøre,,1,No Elo Data,
Allan Nielsen,,2,No Elo Data,
Allan Okello,,3,No Elo Data,
Allan Oviedo,,1,No Elo Data,
Allan Simonsen,,3,No Elo Data,
Allan Wanga,,1,No Elo Data,
Allean Richard Grant Velasquez,,1,No Elo Data,
Allianni Urgelles,,1,No Elo Data,
Ally Abubakari,,1,No Elo Data,
Ally McCoist,,8,No Elo Data,
Almir Da Silva,,1,No Elo Data,
Almiro Lobo,,2,No Elo Data,
Almoez Ali,Qatar,10,29.5,74.0
Alon Mizrahi,,1,No Elo Data,
Alonso Martínez,Costa Rica,3,No Elo Data,70.0
Alpaslan Eratlı,,1,No Elo Data,
Alpay Özalan,,2,No Elo Data,
Alphonse Leweck,,3,No Elo Data,
Alphonse Tchami,,5,No Elo Data,
Alphonso Davies,,2,No Elo Data,
Alphose Qorig,,1,No Elo Data,
Alsény Diaby,,1,No Elo Data,
Altin Haxhi,,1,No Elo Data,
Altin Lala,,2,No Elo Data,
Altin Rraklli,,2,No Elo Data,
Altymyrat Annadurdyýew,,3,No Elo Data,
Aluísio Francisco da Luz,,1,No Elo Data,
Alvaro Solano,,1,No Elo Data,
Alvin Corneal,,1,No Elo Data,
Alvin Jones,,1,No Elo Data,
Alvin Kieh,,1,No Elo Data,
Alvin Tehau,,2,No Elo Data,
Alvin Thomas,,1,No Elo Data,
Alwin Hou,,2,No Elo Data,
Alyaksandr Martynovich,,1,No Elo Data,
Amad Al-Hosni,,6,No Elo Data,
Amad Diallo,Ivory Coast,4,48.5,79.0
Amado Guevara,,7,No Elo Data,
Amadoni Kamolov,,1,No Elo Data,
Amadou Bakayoko,,1,No Elo Data,
Amadou Haidara,Mali,1,No Elo Data,77.0
Amadou Moutari,,1,No Elo Data,
Amadou Pathé Diallo,,1,No Elo Data,
Amadou Touré,Senegal,1,-60.0,63.0
Amancio Amaro,,3,No Elo Data,
Amani Habimana,,1,No Elo Data,
Amar Rahmanović,,1,No Elo Data,
Amar Ramadan,,1,No Elo Data,
Amara Simba,,1,No Elo Data,
Amari'i Bell,,1,No Elo Data,
Amarildo Tavares da Silveira,,3,No Elo Data,
Amaro,,1,No Elo Data,
Ambroise Oyongo,,1,No Elo Data,
Amby Fogarty,,1,No Elo Data,
Ameed Mahajna,,1,No Elo Data,
Amer Gojak,,3,No Elo Data,
Amido Baldé,,1,No Elo Data,
Amilcar Ramos,,1,No Elo Data,
Amin Dabo,,1,No Elo Data,
Amine Gouiri,,2,No Elo Data,
Amir Al-Ammari,,2,No Elo Data,
Amir Kamal,,1,No Elo Data,
Amir Rrahmani,,4,No Elo Data,
Amir Waithe,,1,No Elo Data,
Amit Ben-Shushan,,1,No Elo Data,
Amjad Al-Harthi,,1,No Elo Data,
Amleto Frignani,,2,No Elo Data,
Amor Jebali,,1,No Elo Data,
Amr Zaki,,8,No Elo Data,
Amredin Sharifi,,1,No Elo Data,
Américo Galván,,1,No Elo Data,
An Chol-Hyok,,1,No Elo Data,
An Se-Uk,,1,No Elo Data,
An Yong-hak,,1,No Elo Data,
Anan Khalaili,Israel,1,No Elo Data,73.0
Anas Al Khouja,,1,No Elo Data,
Anas Bani Yaseen,,1,No Elo Data,
