player_id,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
232656,T. Hernández,Theo Bernard François Hernández,"LB, LM",84,85,44500000,65000,27,10/6/1997,184,81,350.0,Pro League,605.0,Al Hilal,LB,19.0,,7/10/2025,2028.0,18,France,LB,22.0,Left,3,4,3,Unique,74500000.0,#Speedster,"Dead Ball, Block, Anticipate, Rapid, Quick Step, Bruiser",90.0,76.0,78.0,83.0,79.0,83.0,84,71,76,81,80,83,80,74,70,84,88,92,83,83,71,86,90,87,80,74,83,78,80,75,74,80,76,84,76,12,10,7,7,7,,80+3,80+3,80+3,82+0,81+0,81+0,81+0,82+0,80+3,80+3,80+3,82+3,79+3,79+3,79+3,82+3,82+3,80+3,80+3,80+3,82+3,82+3,80+3,80+3,80+3,82+3,17+3
212198,Bruno Fernandes,Bruno Fernandes,"CAM, CM",87,87,77000000,165000,30,9/8/1994,179,69,13.0,Premier League,11.0,Manchester United,LCM,8.0,,1/30/2020,2027.0,38,Portugal,RCM,8.0,Right,4,4,4,Unique,146300000.0,#Playmaker ,"Relentless +, Dead Ball, Gamechanger, Incisive Pass, Long Ball Pass, Tiki Taka, Inventive",67.0,83.0,89.0,83.0,65.0,75.0,85,80,63,90,87,82,85,85,90,87,68,66,78,90,73,86,69,95,61,85,84,63,86,92,91,85,62,71,66,12,14,15,8,14,,80+3,80+3,80+3,83+0,84+0,84+0,84+0,83+0,86+1,86+1,86+1,84+3,87+0,87+0,87+0,84+3,78+3,79+3,79+3,79+3,78+3,75+3,70+3,70+3,70+3,75+3,21+3
246191,J. Alvarez,Julián Alvarez,ST,87,90,107000000,125000,25,1/31/2000,170,71,53.0,La Liga,240.0,Atlético Madrid,LS,19.0,,8/12/2024,2030.0,52,Argentina,ST,9.0,Right,4,4,4,Normal (170-),232700000.0,"#Dribbler, #Distance shooter, #Acrobat, #Clinical finisher, #Complete forward","Press Proven +, Finesse Shot",85.0,87.0,81.0,87.0,57.0,79.0,77,88,78,83,84,87,87,80,78,88,86,85,87,88,87,88,86,85,72,86,86,52,88,83,78,86,60,55,46,6,10,8,15,6,,86+3,86+3,86+3,86+0,86+0,86+0,86+0,86+0,86+3,86+3,86+3,85+3,81+3,81+3,81+3,85+3,72+3,72+3,72+3,72+3,72+3,70+3,66+3,66+3,66+3,70+3,18+3
231281,T. Alexander-Arnold,Trent John Alexander-Arnold,"RB, RM",86,87,73000000,250000,26,10/7/1998,180,69,53.0,La Liga,243.0,Real Madrid,RB,12.0,,6/1/2025,2031.0,14,England,RES,26.0,Right,4,3,4,Unique,155100000.0,#Crosser,"Whipped Pass +, Dead Ball, Incisive Pass, Long Ball Pass, Relentless",76.0,72.0,89.0,80.0,80.0,74.0,93,64,69,87,71,79,91,85,91,85,72,79,73,85,72,85,75,89,68,76,70,84,79,88,66,82,78,82,79,14,15,14,6,7,,76+3,76+3,76+3,80+0,80+0,80+0,80+0,80+0,82+3,82+3,82+3,83+3,85+2,85+2,85+2,83+3,84+3,83+3,83+3,83+3,84+3,83+3,78+3,78+3,78+3,83+3,19+3
244675,Sancet,Oihan Sancet,"CAM, CM, ST",84,88,58500000,66000,25,4/25/2000,188,77,53.0,La Liga,448.0,Athletic Club,CAM,8.0,,7/1/2017,2032.0,45,Spain,,,Right,4,4,3,Lean (185+),127200000.0,,"Finesse Shot, Precision Header, Technical, First Touch",76.0,83.0,80.0,85.0,70.0,82.0,75,85,82,84,79,85,82,63,80,85,74,77,84,84,79,83,88,86,80,81,80,71,85,84,77,85,67,70,60,15,11,6,15,7,,83+3,83+3,83+3,82+0,83+0,83+0,83+0,82+0,84+3,84+3,84+3,82+3,82+3,82+3,82+3,82+3,76+3,77+3,77+3,77+3,76+3,75+3,74+3,74+3,74+3,75+3,20+3
210008,A. Rabiot,Adrien Rabiot,"CAM, CM",83,83,35000000,71000,30,4/3/1995,191,80,31.0,Serie A,47.0,AC Milan,SUB,12.0,,9/1/2025,2028.0,18,France,SUB,14.0,Left,3,3,3,Lean (185+),59500000.0,,"Precision Header, First Touch, Press Proven",81.0,79.0,81.0,80.0,77.0,84.0,78,79,83,85,76,81,73,59,80,84,75,86,69,84,69,83,90,94,82,77,77,78,88,84,69,85,72,79,74,9,12,9,7,15,,83+0,83+0,83+0,82+0,83+0,83+0,83+0,82+0,83+0,83+0,83+0,83+0,83+0,83+0,83+0,83+0,81+2,81+2,81+2,81+2,81+2,80+3,79+3,79+3,79+3,80+3,19+3
212616,R. De Paul,Rodrigo,"CM, CDM, CAM",84,84,34500000,100000,31,5/24/1994,180,70,39.0,Major League Soccer,112893.0,Inter Miami,SUB,7.0,Atlético Madrid,,2026.0,52,Argentina,RCM,7.0,Right,3,4,3,Normal (170-185),,,"Finesse Shot, Incisive Pass, Long Ball Pass, Technical",75.0,78.0,83.0,83.0,76.0,83.0,78,75,58,85,71,84,84,76,84,85,74,76,77,81,78,82,76,88,79,83,86,80,79,85,66,81,76,80,75,13,12,10,7,14,,78+3,78+3,78+3,81+0,81+0,81+0,81+0,81+0,82+2,82+2,82+2,82+2,84+0,84+0,84+0,82+2,80+3,82+2,82+2,82+2,80+3,79+3,77+3,77+3,77+3,79+3,19+3
241096,S. Tonali,Sandro Tonali,"CDM, CM",86,88,76500000,175000,25,5/8/2000,181,79,13.0,Premier League,13.0,Newcastle United,CDM,8.0,,7/3/2023,2028.0,27,Italy,LCM,8.0,Right,4,3,3,Unique,151100000.0,,"Slide Tackle, Relentless, Enforcer",79.0,74.0,82.0,80.0,81.0,83.0,78,69,70,86,68,78,75,81,83,85,78,79,76,84,77,85,83,83,82,77,84,84,76,79,64,84,81,84,81,13,9,8,7,7,,78+3,78+3,78+3,79+0,79+0,79+0,79+0,79+0,80+3,80+3,80+3,80+3,82+3,82+3,82+3,80+3,82+3,84+3,84+3,84+3,82+3,82+3,82+3,82+3,82+3,82+3,17+3
226161,Marcos Llorente,Marcos Llorente Moreno,"RB, CM, RM",84,84,36500000,95000,30,1/30/1995,184,74,53.0,La Liga,240.0,Atlético Madrid,RB,14.0,,7/1/2019,2027.0,45,Spain,,,Right,4,3,3,Lean (170-185),76700000.0,,"Power Shot, Whipped Pass, Rapid, Quick Step, Relentless",89.0,79.0,78.0,81.0,78.0,82.0,76,80,67,81,66,81,78,63,80,82,87,91,83,81,74,84,84,92,77,79,80,80,79,79,65,79,77,82,74,13,6,6,11,15,,80+3,80+3,80+3,81+0,81+0,81+0,81+0,81+0,81+3,81+3,81+3,82+2,81+3,81+3,81+3,82+2,81+3,81+3,81+3,81+3,81+3,81+3,78+3,78+3,78+3,81+3,19+3
209658,L. Goretzka,Leon Christoph Goretzka,"CM, CDM, CAM",82,82,29000000,78000,30,2/6/1995,189,82,19.0,Bundesliga,21.0,FC Bayern München,LDM,8.0,,7/1/2018,2026.0,21,Germany,SUB,8.0,Right,4,3,3,Unique,47900000.0,,"Power Shot, Precision Header, Incisive Pass, Aerial Fortress, Bruiser",77.0,78.0,80.0,80.0,80.0,82.0,74,76,84,85,74,80,76,70,84,82,72,81,74,85,71,83,84,69,87,82,83,85,84,79,60,82,75,83,75,13,8,15,11,9,,81+1,81+1,81+1,80+0,81+0,81+0,81+0,80+0,81+1,81+1,81+1,80+2,82+0,82+0,82+0,80+2,79+3,82+0,82+0,82+0,79+3,79+3,82+0,82+0,82+0,79+3,19+3
255253,Vitinha,Vítor Machado Ferreira,"CM, CDM, CAM",89,91,128500000,170000,25,2/13/2000,172,64,16.0,Ligue 1,73.0,Paris Saint-Germain,CM,17.0,,6/30/2022,2029.0,38,Portugal,CDM,23.0,Right,3,4,4,Lean (170-185),247400000.0,"#Dribbler, #Playmaker , #Acrobat, #Complete midfielder","Technical +, Finesse Shot, Incisive Pass, Long Ball Pass, Tiki Taka, Intercept, Relentless",72.0,80.0,86.0,90.0,75.0,70.0,78,80,52,90,62,91,81,69,89,88,75,69,91,88,89,77,66,87,59,84,77,85,81,90,88,88,74,79,69,12,13,8,5,5,,78+3,78+3,78+3,84+0,84+0,84+0,84+0,84+0,87+3,87+3,87+3,85+3,88+3,88+3,88+3,85+3,81+3,83+3,83+3,83+3,81+3,79+3,74+3,74+3,74+3,79+3,17+3
209331,M. Salah,Mohamed Salah,"RM, RW",91,91,82000000,370000,33,6/15/1992,175,72,13.0,Premier League,9.0,Liverpool,RM,11.0,,7/1/2017,2027.0,111,Egypt,,,Left,3,4,5,Unique,151700000.0,"#Dribbler, #Crosser, #Acrobat","Finesse Shot +, Low Driven Shot, Gamechanger, Whipped Pass, Inventive, Technical, First Touch",89.0,88.0,86.0,90.0,45.0,76.0,86,94,59,88,83,90,88,69,81,90,88,89,86,94,91,83,79,88,75,78,63,55,93,89,88,93,38,43,41,14,14,9,11,14,,86+3,86+3,86+3,90+0,89+0,89+0,89+0,90+0,89+2,89+2,89+2,89+2,84+3,84+3,84+3,89+2,72+3,69+3,69+3,69+3,72+3,68+3,59+3,59+3,59+3,68+3,22+3
204923,M. Sabitzer,Marcel Sabitzer,"CDM, CM",80,80,15000000,52000,31,3/17/1994,178,76,19.0,Bundesliga,22.0,Borussia Dortmund,SUB,20.0,,7/24/2023,2027.0,4,Austria,,,Right,4,3,3,Normal (170-185),25500000.0,,"Power Shot, Pinged Pass",74.0,80.0,80.0,80.0,76.0,76.0,77,76,62,82,83,78,77,78,80,82,76,72,77,83,78,87,71,78,75,83,79,80,78,79,80,83,79,75,77,11,13,14,15,13,,78+2,78+2,78+2,79+0,79+0,79+0,79+0,79+0,80+0,80+0,80+0,79+1,80+0,80+0,80+0,79+1,79+1,79+1,79+1,79+1,79+1,78+2,76+3,76+3,76+3,78+2,21+3
234378,D. Rice,Declan Rice,"CDM, CM",87,88,83500000,210000,26,1/14/1999,185,80,13.0,Premier League,1.0,Arsenal,LCM,41.0,,7/15/2023,2028.0,14,England,LDM,4.0,Right,3,3,4,Normal (185+),160700000.0,"#Crosser, #Tackling , #Tactician ","Dead Ball, Whipped Pass, Block, Intercept, Aerial Fortress, Press Proven, Relentless",72.0,73.0,84.0,80.0,83.0,83.0,88,64,72,86,50,82,86,75,86,84,71,73,63,85,65,87,80,92,78,83,85,86,77,79,71,86,81,86,85,8,11,14,5,9,,77+3,77+3,77+3,79+0,79+0,79+0,79+0,79+0,80+3,80+3,80+3,81+3,84+3,84+3,84+3,81+3,85+3,85+3,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,17+3
210514,João Cancelo,João Cancelo,"RB, LB, RM",84,84,30500000,68000,31,5/27/1994,182,74,350.0,Pro League,605.0,Al Hilal,RB,20.0,,8/27/2024,2027.0,38,Portugal,SUB,24.0,Right,4,4,3,Unique,48800000.0,#Crosser,"Whipped Pass, Inventive, Block, Technical, First Touch",83.0,73.0,84.0,84.0,78.0,74.0,86,69,72,86,62,85,87,69,79,86,88,78,79,84,78,80,82,88,65,79,76,79,81,85,52,85,75,81,77,6,9,15,14,14,,78+3,78+3,78+3,83+0,82+0,82+0,82+0,83+0,83+1,83+1,83+1,84+0,83+1,83+1,83+1,84+0,83+1,81+3,81+3,81+3,83+1,81+3,77+3,77+3,77+3,81+3,19+3
228702,F. de Jong,Frenkie de Jong,"CM, CDM",87,87,79500000,170000,28,5/12/1997,181,74,53.0,La Liga,241.0,FC Barcelona,RDM,21.0,,7/1/2019,2026.0,34,Netherlands,LDM,21.0,Right,3,4,4,Unique,163000000.0,"#Dribbler, #Playmaker , #Acrobat, #Complete midfielder","Tiki Taka +, Incisive Pass, Inventive, Press Proven",82.0,71.0,85.0,87.0,78.0,77.0,78,75,72,90,70,86,84,64,87,88,80,83,87,87,79,68,82,87,73,69,74,82,78,88,53,90,76,78,77,7,13,10,10,9,,78+3,78+3,78+3,83+0,82+0,82+0,82+0,83+0,85+2,85+2,85+2,84+3,86+1,86+1,86+1,84+3,83+3,83+3,83+3,83+3,83+3,81+3,78+3,78+3,78+3,81+3,18+3
240638,T. Reijnders,Tijjani Martinus Jan Reijnders Lekatompessy,"CM, CDM, CAM",86,87,79500000,190000,26,7/29/1998,185,73,13.0,Premier League,10.0,Manchester City,LCM,4.0,,7/19/2023,2030.0,34,Netherlands,CAM,14.0,Right,4,4,4,Lean (185+),153000000.0,,"Tiki Taka +, Finesse Shot, Power Shot, Incisive Pass, Technical",79.0,79.0,82.0,85.0,77.0,77.0,73,78,61,87,65,84,77,70,84,88,83,75,82,85,79,85,77,92,69,83,80,80,86,84,59,84,78,80,72,6,10,9,14,9,,80+3,80+3,80+3,83+0,84+0,84+0,84+0,83+0,84+3,84+3,84+3,83+3,85+2,85+2,85+2,83+3,81+3,82+3,82+3,82+3,81+3,80+3,77+3,77+3,77+3,80+3,18+3
236772,D. Szoboszlai,Dominik Szoboszlai,"CAM, CM",83,86,49500000,110000,24,10/25/2000,186,74,13.0,Premier League,9.0,Liverpool,SUB,8.0,,7/2/2023,2028.0,23,Hungary,LCM,10.0,Right,4,4,3,Normal (185+),95300000.0,,"Power Shot, Whipped Pass, Technical",79.0,82.0,84.0,82.0,67.0,76.0,83,79,65,85,81,83,87,83,83,84,76,81,78,83,68,89,76,89,69,79,75,67,83,83,83,82,65,72,63,10,10,13,10,6,,80+3,80+3,80+3,82+0,82+0,82+0,82+0,82+0,83+3,83+3,83+3,83+3,82+3,82+3,82+3,83+3,77+3,77+3,77+3,77+3,77+3,75+3,71+3,71+3,71+3,75+3,17+3
233419,Raphinha,Raphinha,"LM, LW",89,89,104000000,200000,28,12/14/1996,176,68,53.0,La Liga,241.0,FC Barcelona,LM,11.0,,7/13/2022,2028.0,54,Brazil,,,Left,4,4,4,Lean (170-185),213200000.0,"#Speedster, #Dribbler, #Crosser, #Acrobat, #Clinical finisher, #Complete forward","Rapid +, Finesse Shot, Power Shot, Trickster, Quick Step, Relentless",91.0,84.0,85.0,87.0,53.0,75.0,86,87,74,85,72,88,85,79,80,88,90,91,88,87,79,83,82,91,65,82,77,56,89,87,78,85,49,54,38,8,7,13,8,14,,84+3,84+3,84+3,87+0,87+0,87+0,87+0,87+0,87+2,87+2,87+2,87+2,83+3,83+3,83+3,87+2,73+3,71+3,71+3,71+3,73+3,70+3,63+3,63+3,63+3,70+3,18+3
246669,B. Saka,Bukayo Saka,"RW, RM",88,90,118500000,230000,23,9/5/2001,178,65,13.0,Premier League,1.0,Arsenal,RW,7.0,,9/14/2018,2027.0,14,England,RES,25.0,Left,4,3,4,Lean (170-185),228100000.0,"#Dribbler, #Crosser","Whipped Pass +, Finesse Shot, Technical",84.0,82.0,85.0,88.0,60.0,73.0,90,84,49,85,79,89,88,74,77,88,87,81,85,88,88,79,72,86,68,81,68,62,86,86,87,82,60,62,60,7,8,13,9,13,,80+3,80+3,80+3,87+0,85+0,85+0,85+0,87+0,86+3,86+3,86+3,86+3,83+3,83+3,83+3,86+3,77+3,74+3,74+3,74+3,77+3,74+3,65+3,65+3,65+3,74+3,18+3
223848,S. Milinković-Savić,Sergej Milinković-Savić,"CM, CDM, CAM",84,84,40500000,70000,30,2/27/1995,192,95,350.0,Pro League,605.0,Al Hilal,RCM,22.0,,7/12/2023,2026.0,51,Serbia,,,Right,5,4,3,Normal (185+),64800000.0,#Strength,"Dead Ball, Precision Header, Incisive Pass, Pinged Pass, Inventive, Aerial Fortress, First Touch",62.0,80.0,81.0,81.0,78.0,88.0,71,81,86,82,74,84,81,83,86,87,60,64,58,80,62,82,88,92,90,80,79,76,83,84,64,84,77,76,80,7,10,7,16,7,,81+3,81+3,81+3,79+0,81+0,81+0,81+0,79+0,81+3,81+3,81+3,80+3,83+1,83+1,83+1,80+3,78+3,82+2,82+2,82+2,78+3,78+3,80+3,80+3,80+3,78+3,18+3
251854,Pedri,Pedri,"CM, CDM, CAM",89,93,149500000,170000,22,11/25/2002,174,60,53.0,La Liga,241.0,FC Barcelona,LDM,8.0,,8/4/2020,2030.0,45,Spain,RCM,20.0,Right,4,4,4,Lean (170-185),317700000.0,"#Dribbler, #Playmaker , #Tactician , #Acrobat, #Complete midfielder","First Touch +, Incisive Pass, Long Ball Pass, Tiki Taka, Technical, Relentless",77.0,73.0,85.0,91.0,78.0,77.0,76,77,50,90,56,91,79,62,88,91,79,76,89,87,92,68,72,90,73,76,72,87,86,91,53,90,74,85,79,12,7,11,8,8,,78+3,78+3,78+3,85+0,84+0,84+0,84+0,85+0,87+3,87+3,87+3,86+3,88+3,88+3,88+3,86+3,84+3,85+3,85+3,85+3,84+3,82+3,78+3,78+3,78+3,82+3,17+3
247851,Bruno Guimarães,Bruno Guimarães,"CM, CDM",86,87,77500000,190000,27,11/16/1997,182,74,13.0,Premier League,13.0,Newcastle United,RCM,39.0,,1/31/2022,2028.0,54,Brazil,,,Right,2,3,4,Lean (170-185),153100000.0,"#Dribbler, #Playmaker , #Complete midfielder","Gamechanger, Incisive Pass, Long Ball Pass, Press Proven, Relentless",66.0,75.0,84.0,84.0,79.0,81.0,76,73,66,88,65,86,83,63,88,86,66,66,73,85,79,76,75,90,76,82,86,82,77,86,65,88,78,82,81,7,11,15,11,11,,77+3,77+3,77+3,80+0,80+0,80+0,80+0,80+0,83+3,83+3,83+3,81+3,85+2,85+2,85+2,81+3,81+3,84+3,84+3,84+3,81+3,80+3,80+3,80+3,80+3,80+3,19+3
