transaction_id,year,month,quarter,country,iso3_code,region,platform,game_edition,sales_channel,units_sold,gross_revenue_usd,discount_percentage,new_customers,returning_customers,estimated_active_players,peak_concurrent_players,online_players,story_mode_players,gta_online_players,average_playtime_hours,average_session_length_minutes,holiday_season,major_sale_event,marketing_campaign,customer_rating,review_count,refund_rate_percentage,currency,exchange_rate_to_usd,internet_penetration_percentage,gaming_market_size,population_millions,gdp_per_capita_usd,release_phase,weekend_sales_percentage,weekday_sales_percentage,season,special_event,top_game_category,platform_generation
GTA5-114765,2026,6,2,Philippines,PHL,Asia,PC,Standard Edition,Digital,1105,Lost,39,235,870,43996,2716,28892,15104,28892,18.1,55.9,0,Steam Summer Sale,1,4.29,15,3.53,PHP,55.6943,98,31.6,113.49,4834.59,Legacy,49.3,50.7,Summer,Steam Summer Sale,Action-Adventure,PC
GTA5-102356,2015,9,3,Kenya,KEN,Africa,PC,Standard Edition,Digital,448,Lost,52.6,280,168,19130,1681,12085,7045,12085,13.5,44.5,0,Xbox Sale,1,4.55,10,6.04,KES,130.3695,98,1.85,45.3,1592.79,Growth,36.5,63.5,Autumn,Xbox Sale,Action-Adventure,PC
GTA5-106444,2019,4,2,Germany,DEU,Europe,Xbox One,Standard Edition,Digital,949,Lost,19,388,561,95373,7616,53259,42114,53259,17,56,0,None,0,4.81,9,2.25,EUR,0.9098,98,841.99,86.73,50563.41,Mature,49.4,50.6,Spring,None,Action-Adventure,Gen8
GTA5-110978,2023,3,1,India,IND,Asia,Xbox One,Premium Edition,Digital,1803,Lost,29.5,628,1175,62479,4412,36821,25658,36821,16.1,52.8,0,PlayStation Sale,1,4.53,49,1.29,INR,83.4807,98,444.47,1399.29,2836.06,Legacy,51.7,48.3,Spring,PlayStation Sale,Action-Adventure,Gen8
GTA5-111198,2023,5,2,Ireland,IRL,Europe,PS5,Standard Edition,Digital,767,Lost,47.3,250,517,24239,1913,13668,10571,13668,13,25.5,0,Epic Mega Sale,1,4.56,15,2.58,EUR,0.9013,98,13.47,5.15,54506.63,Growth,45.7,54.3,Spring,Epic Mega Sale,Action-Adventure,Gen9
GTA5-100134,2013,10,4,Georgia,GEO,Asia,Xbox 360,Premium Edition,Physical,161,3770.62,21.9,86,75,7846,627,5612,2234,5612,16.1,32.6,0,None,0,4.52,4,5.85,GEL,2.6981,68.9,0.27,3.73,4536.49,Launch,49.4,50.6,Autumn,None,Action-Adventure,Gen7
GTA5-100125,2013,10,4,Jordan,JOR,Asia,Xbox 360,Standard Edition,Physical,215,5467.45,15.2,140,75,10590,870,6348,4242,6348,14.4,46.6,0,None,0,4.77,6,2.71,JOD,0.728,64.7,0.56,6.55,4459.56,Launch,48.4,51.6,Autumn,None,Action-Adventure,Gen7
GTA5-106389,2019,3,1,Cyprus,CYP,Europe,PS4,Standard Edition,Digital,253,Lost,32.6,109,144,8065,572,5612,2453,5612,18.1,49,0,PlayStation Sale,1,4.57,3,1.06,EUR,0.8999,98,0.42,0.92,28678.17,Mature,42.6,57.4,Spring,PlayStation Sale,Action-Adventure,Gen8
GTA5-108235,2020,10,4,Morocco,MAR,Africa,PC,Premium Edition,Digital,222,4344.54,2.1,83,139,16885,1236,9781,7104,9781,16.6,63.1,0,None,0,4.47,6,1.96,MAD,10.2289,98,4.45,35.92,4303.42,Legacy,37.6,62.4,Autumn,None,Action-Adventure,PC
GTA5-104804,2017,11,4,Ecuador,ECU,South America,PS4,Premium Edition,Physical,218,5709.42,34.5,103,115,5252,342,3819,1433,3819,16.3,58.7,1,Black Friday,1,4.31,3,3.28,USD,0.9948,98,1.11,16.87,6881.24,Mature,42.1,57.9,Autumn,Black Friday,Action-Adventure,Gen8
GTA5-106523,2019,5,2,Mexico,MEX,North America,Xbox One,Standard Edition,Digital,925,10054.75,45.6,444,481,33687,2635,19183,14504,19183,13.8,56.8,0,Epic Mega Sale,1,4.45,12,1.23,MXN,18.7653,98,119.41,130.75,12972.2,Mature,55,45,Spring,Epic Mega Sale,Action-Adventure,Gen8
GTA5-114301,2026,1,1,Mexico,MEX,North America,Xbox Series X|S,Standard Edition,Digital,1480,Lost,56.3,393,1087,43035,2476,26665,16370,26665,15.6,41.6,1,New Year Sale,1,4.68,17,3.25,MXN,18.4955,98,150.82,140.65,15231.34,Growth,48.3,51.7,Winter,New Year Sale,Action-Adventure,Gen9
GTA5-104368,2017,6,2,Lebanon,LBN,Asia,Xbox One,Premium Edition,Digital,199,5315.29,33.2,111,88,7847,552,4445,2562,5245,14.1,44.7,0,Steam Summer Sale,1,4.6,3,3.12,LBP,88195.9467,98,0.99,6.19,9967.45,Mature,46,54,Summer,Steam Summer Sale,Action-Adventure,Gen8
GTA5-102870,2016,2,1,Hungary,HUN,Europe,PS4,Standard Edition,Physical,254,9669.78,4.8,135,119,21891,1218,13738,8153,13738,15.7,43.1,0,None,0,4.62,3,2.71,HUF,361.1688,98,5.89,10.24,14968.95,Mature,45.4,54.6,Winter,None,Action-Adventure,Gen8
GTA5-109336,2021,10,4,Switzerland,CHE,Europe,PC,Standard Edition,Digital,611,Lost,13.4,205,406,37223,2661,22124,15099,22124,15.4,51.3,0,None,0,4.49,15,5.38,CHF,0.8923,98,50.86,8.91,89196.92,Legacy,42.2,57.8,Autumn,None,Action-Adventure,PC
GTA5-108247,2020,10,4,Qatar,QAT,Asia,Xbox 360,Standard Edition,Digital,256,3816.96,25.4,111,145,14644,1316,10919,3725,10919,15.8,52.7,0,None,0,4.59,3,2.71,QAR,3.6464,98,8.65,2.39,94293.54,Legacy,44,56,Autumn,None,Action-Adventure,Gen7
GTA5-106781,2019,7,3,Singapore,SGP,Asia,PS4,Premium Edition,Digital,913,Lost,36.1,416,497,41363,2845,29030,12333,29030,18.1,45.2,0,Steam Summer Sale,1,4.45,15,3.2,SGD,1.3081,98,21.64,5.8,58286.02,Mature,48.4,51.6,Summer,Steam Summer Sale,Action-Adventure,Gen8
GTA5-109907,2022,4,2,Norway,NOR,Europe,Xbox One,Standard Edition,Digital,366,Lost,3.5,120,246,34100,2278,23198,10902,23198,18.3,58.2,0,None,0,4.53,7,2.63,NOK,10.5354,98,34.07,5.64,104859.91,Legacy,44.9,55.1,Spring,None,Action-Adventure,Gen8
GTA5-114041,2025,11,4,Fiji,FJI,Oceania,Xbox Series X|S,Standard Edition,Digital,141,Lost,42.1,39,102,3186,259,2148,1038,2148,13.6,41.4,1,Black Friday,1,4.52,3,2.28,FJD,2.2204,98,0.04,1.04,6092.08,Growth,42.6,57.4,Autumn,Black Friday,Action-Adventure,Gen9
GTA5-112932,2024,11,4,Kazakhstan,KAZ,Asia,PS4,Premium Edition,Digital,582,5575.56,36.1,178,404,19653,1674,14453,5200,14453,16.7,47.4,1,Black Friday,1,4.64,5,4.89,KZT,451.007,98,9.3,19.35,16692.83,Legacy,45.2,54.8,Autumn,Black Friday,Action-Adventure,Gen8
GTA5-108204,2020,10,4,Oman,OMN,Asia,PS4,Premium Edition,Digital,262,4634.78,11.5,104,158,12235,652,8179,4056,8179,14.1,38.4,0,None,0,4.81,6,3.45,OMR,0.3872,98,2.14,4.35,21958.92,Legacy,47.3,52.7,Autumn,None,Action-Adventure,Gen8
GTA5-100849,2014,5,2,United States,USA,North America,PS3,Standard Edition,Physical,3624,Lost,41.7,2429,1195,140324,11518,85482,54842,85482,17.8,50.2,0,Epic Mega Sale,1,4.67,99,2.59,USD,0.9927,94.2,5589.58,320.64,54476.78,Growth,45.1,54.9,Spring,Epic Mega Sale,Action-Adventure,Gen7
GTA5-101475,2014,12,4,Ethiopia,ETH,Africa,PS4,Legacy Edition,Physical,337,8462.07,37.2,202,135,7067,491,5267,1800,5267,15.1,51.3,1,Christmas,1,4.52,8,2.8,ETB,55.463,97,0.89,98.03,707.36,Growth,50.9,49.1,Winter,Christmas,Action-Adventure,Gen8
GTA5-104861,2017,11,4,Turkey,TUR,Europe,PC,Standard Edition,Digital,1151,Lost,32.2,547,604,33015,2711,21470,11545,21470,16.9,52.2,1,Black Friday,1,4.48,30,4.18,TRY,27.3383,98,63.48,80.13,12378.88,Mature,50.9,49.1,Autumn,Black Friday,Action-Adventure,PC
GTA5-106004,2018,11,4,Georgia,GEO,Asia,PC,Standard Edition,Digital,481,5853.77,39.1,249,232,11303,905,7151,4152,7151,15.3,32.5,1,Black Friday,1,4.48,12,5.1,GEL,2.6995,98,0.35,3.94,5605.19,Mature,48.2,51.8,Autumn,Black Friday,Action-Adventure,PC
GTA5-114309,2026,1,1,United Kingdom,GBR,Europe,PS5,Criminal Enterprise Starter Pack,Digital,4425,Lost,47.8,1131,3294,107578,8677,65049,42529,65049,14.6,33.1,1,New Year Sale,1,4.6,90,2.68,GBP,0.7823,98,649.21,73.78,49995.92,Growth,49.3,50.7,Winter,New Year Sale,Action-Adventure,Gen9
GTA5-109100,2021,7,3,South Korea,KOR,Asia,Xbox One,Legacy Edition,Digital,1758,16173.6,54,628,1130,57260,5118,38063,19197,38063,16.3,53.2,0,Steam Summer Sale,1,4.62,38,5.03,KRW,1311.2403,98,239.04,55.97,33366.41,Legacy,45.1,54.9,Summer,Steam Summer Sale,Action-Adventure,Gen8
GTA5-111554,2023,9,3,Luxembourg,LUX,Europe,Xbox One,Legacy Edition,Digital,316,Lost,36.5,108,208,9690,504,6563,3127,6563,14.8,33.6,0,Xbox Sale,1,4.42,9,3.22,EUR,0.9079,98,1.62,0.62,116820.25,Legacy,44.6,55.4,Autumn,Xbox Sale,Action-Adventure,Gen8
GTA5-100711,2014,4,2,Ghana,GHA,Africa,PS3,Standard Edition,Physical,158,4269.16,9.9,102,56,7163,387,4535,2628,4535,12.8,29.3,0,None,0,4.5,3,4.65,GHS,12.2407,69.5,1.01,26.36,2000.85,Growth,52.2,47.8,Spring,None,Action-Adventure,Gen7
GTA5-102048,2015,6,2,Georgia,GEO,Asia,PS3,Criminal Enterprise Starter Pack,Physical,187,Lost,41.5,101,86,8242,704,4875,3367,4875,13.1,46.7,0,Steam Summer Sale,1,4.59,5,2.99,GEL,2.7103,98,0.3,3.8,4918.66,Growth,45.2,54.8,Summer,Steam Summer Sale,Action-Adventure,Gen7
GTA5-108552,2021,2,1,Canada,CAN,North America,Xbox One,Standard Edition,Digital,749,Lost,15.9,316,433,49980,4386,31917,18063,31917,15,44,0,None,0,4.59,10,4.21,CAD,1.3299,98,212.02,38.24,57754.5,Legacy,46.6,53.4,Winter,None,Action-Adventure,Gen8
GTA5-102961,2016,3,1,Qatar,QAT,Asia,Xbox 360,Standard Edition,Physical,286,4930.64,42.5,147,139,12581,1098,7095,5486,7095,13.4,32,0,PlayStation Sale,1,4.57,7,0.91,QAR,3.6148,98,8.26,2.28,94308.46,Mature,47.6,52.4,Spring,PlayStation Sale,Action-Adventure,Gen7
GTA5-105721,2018,8,3,Georgia,GEO,Asia,PC,Premium Edition,Digital,201,Lost,50.8,100,101,10979,669,6399,4580,6399,13.6,43.6,0,Rockstar Sale,1,4.37,5,4.15,GEL,2.6592,98,0.35,3.93,5530.81,Mature,50.4,49.6,Summer,Rockstar Sale,Action-Adventure,PC
GTA5-106817,2019,8,3,Mexico,MEX,North America,PS4,Premium Edition,Digital,1333,Lost,51.3,596,737,26783,1648,18915,7868,18915,15.2,46.1,0,Rockstar Sale,1,4.55,27,7.17,MXN,18.4842,98,122.14,131.11,13232.36,Mature,48.8,51.2,Summer,Rockstar Sale,Action-Adventure,Gen8
GTA5-109386,2021,10,4,Nigeria,NGA,Africa,PC,Standard Edition,Digital,544,Lost,7.6,184,360,26812,1405,18464,8348,18464,15,44.5,0,None,0,4.4,15,4.12,NGN,900.0643,98,34.24,191.48,3991.05,Legacy,50.7,49.3,Autumn,None,Action-Adventure,PC
GTA5-114143,2025,12,4,Cambodia,KHM,Asia,PS5,Premium Edition,Digital,162,Lost,53.9,40,122,7217,449,5082,2135,5082,12.1,37.4,1,Christmas,1,4.44,3,5.48,KHR,4063.466,98,0.25,17.28,2276.24,Growth,46.7,53.3,Winter,Christmas,Action-Adventure,Gen9
GTA5-113585,2025,6,2,Estonia,EST,Europe,PC,Standard Edition,Digital,431,4116.05,36.3,130,301,15365,1278,9057,6308,9057,14.2,48.3,0,Steam Summer Sale,1,4.68,9,3.37,EUR,0.894,98,0.94,1.49,24574.76,Legacy,35.8,64.2,Summer,Steam Summer Sale,Action-Adventure,PC
GTA5-113433,2025,5,2,United States,USA,North America,PS4,Standard Edition,Digital,4596,Lost,40.5,1130,3466,256524,18675,184950,71574,184950,17.1,62.1,0,Epic Mega Sale,1,4.68,107,2.36,USD,1.0025,98,7287.55,361.65,62971.34,Legacy,37.4,62.6,Spring,Epic Mega Sale,Action-Adventure,Gen8
GTA5-101646,2015,2,1,Peru,PER,South America,Xbox 360,Standard Edition,Physical,104,Lost,13.5,65,39,6052,436,4460,1592,4460,17.6,57.6,0,None,0,4.69,3,5.93,PEN,3.7249,98,4.22,30.69,7153.84,Growth,41.4,58.6,Winter,None,Action-Adventure,Gen7
GTA5-101929,2015,5,2,Poland,POL,Europe,Xbox One,Standard Edition,Physical,671,Lost,37.1,354,317,33286,2298,23956,9330,23956,15.5,44.9,0,Epic Mega Sale,1,4.26,9,1.59,PLN,4.0204,98,45.65,38.98,15247.72,Growth,42.6,57.4,Spring,Epic Mega Sale,Action-Adventure,Gen8
GTA5-101980,2015,5,2,Fiji,FJI,Oceania,PS3,Standard Edition,Physical,70,1223.6,41.7,38,32,2425,131,1713,712,1713,14.5,32.3,0,Epic Mega Sale,1,4.43,3,3.54,FJD,2.2784,98,0.03,0.92,5098.49,Growth,47.4,52.6,Spring,Epic Mega Sale,Action-Adventure,Gen7
GTA5-107537,2020,3,1,Vietnam,VNM,Asia,PC,Standard Edition,Digital,817,9125.89,44.1,379,438,31045,2468,19817,11228,19817,14,36.3,0,PlayStation Sale,1,4.7,10,6.38,VND,24271.965,98,16.84,97.34,3179.65,Mature,48.4,51.6,Spring,PlayStation Sale,Action-Adventure,PC
GTA5-110595,2022,11,4,Saudi Arabia,SAU,Asia,Xbox One,Legacy Edition,Digital,1697,Lost,55,636,1061,51848,4294,31176,20672,31176,12.7,53.1,1,Black Friday,1,4.71,26,1.14,SAR,3.7751,98,69.61,33.41,27130.71,Legacy,44.3,55.7,Autumn,Black Friday,Action-Adventure,Gen8
GTA5-102894,2016,3,1,Netherlands,NLD,Europe,Xbox One,Legacy Edition,Physical,784,18808.16,40,388,396,42212,2390,28137,14075,28137,16.3,35.5,0,PlayStation Sale,1,4.42,9,3.95,EUR,0.9031,98,83.07,17.6,52674.94,Mature,50.9,49.1,Spring,PlayStation Sale,Action-Adventure,Gen8
GTA5-106382,2019,3,1,India,IND,Asia,PS4,Standard Edition,Digital,2175,Lost,56.2,987,1188,61560,5299,44535,17025,44535,18.9,65.2,0,PlayStation Sale,1,4.6,21,5.67,INR,81.9472,98,344.16,1339.38,2294.26,Mature,43.1,56.9,Spring,PlayStation Sale,Action-Adventure,Gen8
GTA5-100334,2013,12,4,Fiji,FJI,Oceania,Xbox 360,Standard Edition,Physical,182,Lost,46.4,114,68,3135,172,2269,866,2269,16.7,41,1,Christmas,1,4.46,5,4.59,FJD,2.2671,62.5,0.03,0.91,5018.82,Launch,47,53,Winter,Christmas,Action-Adventure,Gen7
GTA5-111961,2024,1,1,Nigeria,NGA,Africa,PS4,Standard Edition,Digital,1196,10740.08,40.1,327,869,27345,1505,15758,11587,15758,13.6,49.8,1,New Year Sale,1,4.36,15,2.32,NGN,904.5489,98,38.09,196.25,4332.57,Legacy,44.3,55.7,Winter,New Year Sale,Action-Adventure,Gen8
GTA5-109557,2021,12,4,Taiwan,TWN,Asia,Xbox One,Standard Edition,Digital,1852,Lost,46,644,1208,59819,3497,37839,15571,44650,19.6,47.9,1,Christmas,1,4.56,50,1.8,TWD,31.6302,98,56.48,25.36,24857.36,Legacy,47.4,52.6,Winter,Christmas,Action-Adventure,Gen8
GTA5-102421,2015,10,4,Norway,NOR,Europe,PC,Standard Edition,Digital,576,16254.72,5.9,312,264,37721,2041,21444,16277,21444,13.5,57.2,0,None,0,4.6,12,1.86,NOK,10.3997,98,31.02,5.26,102370,Mature,53.1,46.9,Autumn,None,Action-Adventure,PC
GTA5-107392,2020,1,1,Chile,CHL,South America,Xbox 360,Standard Edition,Digital,421,3460.62,58.9,191,230,10121,894,7485,2636,7485,17.2,60.6,1,New Year Sale,1,4.49,7,0.19,CLP,906.64,98,8.41,18.35,17905.72,Mature,51.5,48.5,Winter,New Year Sale,Action-Adventure,Gen7
GTA5-107858,2020,6,2,Vietnam,VNM,Asia,Xbox One,Standard Edition,Digital,629,5736.48,54.4,263,366,25360,2105,18513,6847,18513,18,53.9,0,Steam Summer Sale,1,4.66,5,4,VND,24346.0544,98,17.28,97.61,3254.43,Mature,50.3,49.7,Summer,Steam Summer Sale,Action-Adventure,Gen8
GTA5-108658,2021,3,1,Denmark,DNK,Europe,PC,Standard Edition,Digital,756,Lost,46.4,302,454,48389,2930,31852,16537,31852,15.4,38.4,0,PlayStation Sale,1,4.72,6,2.8,DKK,6.9742,98,21.11,6.12,63408.82,Legacy,46.8,53.2,Spring,PlayStation Sale,Action-Adventure,PC
GTA5-104094,2017,3,1,Cyprus,CYP,Europe,Xbox One,Standard Edition,Physical,184,4789.52,34.9,99,85,6801,350,4411,2390,4411,13.7,42.4,0,PlayStation Sale,1,4.48,5,1.82,EUR,0.9085,98,0.41,0.9,28281.31,Mature,50.6,49.4,Spring,PlayStation Sale,Action-Adventure,Gen8
GTA5-113518,2025,5,2,Iraq,IRQ,Asia,Xbox Series X|S,Standard Edition,Digital,286,Lost,39.3,74,212,9913,609,7403,2510,7403,17.6,39.9,0,Epic Mega Sale,1,4.64,3,1.56,IQD,1307.0561,98,5.65,38.91,7562.31,Growth,47.7,52.3,Spring,Epic Mega Sale,Action-Adventure,Gen9
GTA5-107485,2020,2,1,Myanmar,MMR,Asia,PS3,Legacy Edition,Digital,54,Lost,8.5,23,31,4672,411,3378,1294,3378,10.9,27.6,0,None,0,4.52,3,1.38,MMK,2114.8149,98,1.01,57.27,1833.97,Mature,50.4,49.6,Winter,None,Action-Adventure,Gen7
GTA5-102859,2016,2,1,Turkey,TUR,Europe,PC,Standard Edition,Digital,361,Lost,14.2,183,178,25565,1750,16089,9476,16089,12.4,40.8,0,None,0,4.65,6,4.48,TRY,26.7146,98,59.96,78.61,11918.83,Mature,44.8,55.2,Winter,None,Action-Adventure,PC
GTA5-113444,2025,5,2,Germany,DEU,Europe,Xbox One,Premium Edition,Digital,3255,Lost,46.2,817,2438,127360,6414,94393,32967,94393,17.9,47.6,0,Epic Mega Sale,1,4.46,41,3.59,EUR,0.894,98,979.4,92.7,55027.48,Legacy,49.7,50.3,Spring,Epic Mega Sale,Action-Adventure,Gen8
GTA5-109219,2021,9,3,Mexico,MEX,North America,PC,Standard Edition,Digital,1036,Lost,56.8,348,688,41765,3320,29352,12413,29352,17.8,51.4,0,Xbox Sale,1,4.59,12,4.38,MXN,18.502,98,131.52,134.13,13928.27,Legacy,44.7,55.3,Autumn,Xbox Sale,Action-Adventure,PC
GTA5-114578,2026,4,2,Azerbaijan,AZE,Asia,PS5,Legacy Edition,Digital,217,2745.05,15.6,48,169,11381,641,8389,2992,8389,14.9,54.8,0,None,0,4.77,3,4.61,AZN,1.69,98,2.03,10.98,9627.26,Growth,51.8,48.2,Spring,None,Action-Adventure,Gen9
GTA5-105649,2018,7,3,Egypt,EGY,Africa,PC,Legacy Edition,Digital,481,Lost,40.8,207,274,35115,1742,17327,14026,20445,14.6,40.2,0,Steam Summer Sale,1,4.62,4,2.39,EGP,31.5978,98,16.11,96.64,4006.55,Mature,49,51,Summer,Steam Summer Sale,Action-Adventure,PC
GTA5-107241,2019,12,4,Ukraine,UKR,Europe,PS3,Premium Edition,Digital,546,3920.28,64.1,221,325,11201,572,6850,3151,8083,15.1,49.8,1,Christmas,1,4.47,14,2.21,UAH,38.2806,98,7.8,48.54,5023.16,Mature,40,60,Winter,Christmas,Action-Adventure,Gen7
GTA5-101907,2015,4,2,New Zealand,NZL,Oceania,Xbox 360,Standard Edition,Physical,387,Lost,15.3,239,148,20440,1042,14080,6360,14080,14.9,36,0,None,0,4.41,8,4.28,NZD,1.645,98,11.12,4.51,42812.62,Growth,59.9,40.1,Spring,None,Action-Adventure,Gen7
GTA5-107885,2020,7,3,Poland,POL,Europe,PS4,Standard Edition,Digital,1053,Lost,41.9,408,645,43929,3821,29973,13956,29973,17.8,42,0,Steam Summer Sale,1,4.68,19,3.66,PLN,4.0052,98,57.22,41.25,18061.33,Mature,46.8,53.2,Summer,Steam Summer Sale,Action-Adventure,Gen8
