ID,Age,Sex,EducationLevel,Country,Background,EmotionalStabilityScore,SocialEnergyScore,OpennessScore,CooperationScore,SelfDisciplineScore,ImpulseControlScore,NoveltySeekingScore,Marijuana,LSD,Mushroom,Psychotropic,Ex
31,-0.07854,0.48246,0.45468,0.96082,-0.31685,1.02119,0.47617,0.7233,1.61108,-0.14277,-0.71126,0.7654,1,0,1,2,1
32,-0.07854,0.48246,-1.22751,0.96082,-0.31685,-0.14882,-0.15487,-1.97495,0.59042,0.7583,-0.71126,-0.84637,0,0,0,0,0
33,1.09449,0.48246,-1.7379,0.96082,-0.31685,0.41667,-1.37639,-2.09015,0.59042,-0.27607,-1.37983,-2.07848,0,0,0,0,0
34,0.49788,0.48246,1.16365,0.96082,-1.10702,-0.46725,1.11406,0.88309,0.28783,0.41594,-2.55524,-0.21575,2,0,0,1,0
35,-0.07854,0.48246,-0.05921,-0.57009,-1.10702,-1.55078,0.16767,0.14143,-1.21213,-1.5184,1.86203,1.92173,2,0,0,1,0
36,0.49788,0.48246,0.45468,0.96082,-0.31685,-0.79151,0.47617,0.88309,-1.07533,-1.0145,0.19268,0.40148,0,0,0,0,0
37,-0.07854,-0.48246,-0.05921,0.96082,0.1144,-1.43907,-0.69509,-0.71727,-0.91699,-0.27607,-1.37983,-0.84637,1,0,0,0,0
38,-0.95197,-0.48246,-0.61113,0.96082,-1.10702,1.02119,-0.94779,0.44585,-0.60633,-0.89891,0.52975,1.2247,2,0,0,2,1
39,-0.95197,-0.48246,-0.61113,0.24923,-1.10702,-0.34799,1.2861,2.15324,0.76096,0.93949,-0.71126,0.07987,2,2,1,1,0
40,-0.95197,0.48246,0.45468,0.96082,-0.31685,-0.24649,0.16767,0.44585,-1.34289,0.41594,0.52975,0.7654,0,0,0,0,0
41,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,0.82562,-0.15487,0.58331,-0.76096,0.41594,-0.71126,0.07987,2,0,0,2,1
42,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,1.23461,0.32197,-0.01928,-1.34289,-0.14277,0.52975,0.07987,2,1,1,0,1
43,-0.95197,-0.48246,-0.61113,-0.57009,0.1144,-0.05188,-0.80615,-1.27553,-1.34289,-1.92173,-0.71126,0.07987,1,0,1,0,0
44,1.09449,0.48246,-0.05921,0.96082,-0.31685,-0.92104,-0.30033,-0.58331,0.94156,0.7583,-1.37983,-0.21575,0,0,0,0,0
45,0.49788,0.48246,0.45468,-0.09765,-0.31685,-1.86962,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148,1,0,0,0,0
46,-0.95197,-0.48246,0.45468,0.96082,-0.31685,-0.34799,1.2861,-1.11902,0.59042,-0.52745,0.52975,0.07987,0,0,0,0,0
47,1.09449,0.48246,0.45468,0.96082,-0.31685,-1.69163,-0.94779,-0.45174,0.76096,-0.14277,0.19268,-0.21575,0,0,0,0,0
48,-0.95197,-0.48246,-0.61113,-0.57009,-0.31685,0.82562,-0.94779,-0.45174,-0.30172,-1.64101,1.29221,0.07987,2,0,0,1,1
49,0.49788,-0.48246,1.16365,0.96082,-0.31685,-1.69163,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987,0,0,0,0,0
50,-0.07854,-0.48246,-0.61113,-0.57009,-0.31685,-0.46725,-2.11437,-0.17779,-0.45321,-0.89891,-1.37983,-0.84637,0,0,1,1,0
51,1.09449,-0.48246,0.45468,0.96082,-0.31685,-0.46725,2.127,0.14143,0.28783,-0.40581,0.19268,-0.21575,0,0,0,0,0
52,-0.95197,-0.48246,-0.05921,0.96082,-1.10702,1.37297,-0.43999,-0.71727,0.94156,-0.14277,0.19268,-0.21575,2,0,0,0,1
53,-0.95197,-0.48246,-0.61113,0.96082,-1.10702,1.8399,0.63779,-0.84732,-1.07533,-1.38502,1.29221,0.7654,2,0,0,1,2
54,-0.95197,0.48246,-0.61113,0.96082,-0.31685,-0.34799,-1.37639,0.7233,-0.45321,0.58489,-0.21712,0.7654,0,0,0,0,0
55,-0.95197,0.48246,0.45468,0.96082,0.1144,1.02119,0.80523,-0.01928,1.11406,-0.65253,-0.21712,-0.84637,1,0,0,1,1
56,0.49788,0.48246,-0.61113,0.96082,-0.31685,-0.92104,-0.57545,0.88309,1.2861,-0.65253,0.88113,-0.21575,0,0,0,0,0
57,0.49788,-0.48246,1.16365,0.96082,-0.31685,-0.79151,0.96248,0.14143,-0.01729,0.93949,0.88113,-0.21575,0,0,0,0,0
58,0.49788,0.48246,-1.7379,0.96082,-0.31685,-0.58016,0.63779,-1.11902,1.2861,0.58489,-1.37983,-2.07848,0,0,0,0,0
59,1.09449,-0.48246,0.45468,0.96082,-0.31685,0.22393,-0.69509,0.44585,0.76096,-1.38502,0.19268,-0.21575,0,0,0,0,0
60,-0.95197,0.48246,0.45468,0.96082,0.1144,-0.67825,0.47617,0.88309,1.61108,0.58489,-0.21712,0.40148,1,0,0,0,0
61,-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.04257,1.11406,0.29338,1.45039,-0.00665,0.88113,0.7654,0,0,0,0,0
62,-0.07854,-0.48246,-1.7379,0.96082,-0.31685,0.41667,1.11406,-1.82919,-0.45321,0.7583,-0.21712,0.7654,0,0,0,0,0
63,-0.07854,0.48246,1.98437,0.96082,-0.31685,0.82562,1.2861,0.58331,0.28783,-0.78155,0.52975,-1.18084,0,0,0,0,1
64,1.09449,0.48246,1.16365,0.96082,-0.31685,0.22393,0.16767,0.29338,0.94156,1.13407,-1.37983,-1.18084,0,0,0,0,0
65,-0.95197,0.48246,0.45468,-0.57009,-1.10702,1.02119,-0.94779,1.24033,-0.91699,-1.38502,2.90161,1.92173,2,1,1,2,1
66,0.49788,0.48246,-0.05921,0.96082,-1.10702,0.22393,0.47617,-0.58331,0.59042,-0.14277,-0.21712,0.40148,2,0,0,1,0
67,1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.67825,-0.57545,-0.71727,1.11406,0.7583,-0.71126,-0.52593,0,0,0,0,0
68,-0.07854,0.48246,-0.61113,0.96082,-0.31685,1.37297,-0.80615,-0.84732,-1.07533,-0.89891,1.29221,1.92173,0,0,0,0,1
69,-0.07854,0.48246,1.16365,-0.57009,-1.10702,2.28554,1.11406,0.44585,-2.5383,-0.14277,0.88113,1.2247,2,0,2,1,2
70,0.49788,0.48246,0.45468,0.96082,-0.31685,-0.67825,2.32338,1.65653,-1.34289,0.41594,1.29221,1.92173,0,0,0,0,0
71,-0.95197,-0.48246,-1.22751,-0.57009,0.1144,0.22393,3.27393,2.15324,-0.60633,0.93949,1.86203,1.2247,1,0,0,1,0
72,0.49788,0.48246,-0.05921,0.96082,-1.10702,-0.05188,-0.69509,0.29338,0.76096,0.12331,-0.71126,-0.84637,2,0,0,0,0
73,-0.95197,0.48246,0.45468,-0.57009,-1.10702,1.49158,0.32197,0.44585,0.76096,0.12331,1.29221,1.92173,2,1,0,1,1
74,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,2.127,-1.50796,0.44585,-0.01729,-0.89891,-0.71126,0.07987,2,0,0,1,2
75,-0.95197,-0.48246,-0.61113,-0.57009,0.1144,-0.24649,-0.94779,2.15324,-1.772,-1.92173,1.86203,0.40148,1,0,0,0,0
76,-0.95197,0.48246,-0.61113,0.96082,-0.31685,1.49158,-0.57545,0.44585,-0.60633,-1.0145,0.52975,1.92173,2,0,0,1,1
77,1.09449,-0.48246,0.45468,0.96082,-0.31685,-1.69163,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,0,0,0,0,0
78,0.49788,-0.48246,-1.7379,0.96082,-0.31685,-0.46725,-0.30033,-1.55521,-0.45321,-0.27607,-0.21712,-0.21575,0,0,0,0,0
79,-0.07854,0.48246,1.98437,0.96082,-0.31685,-0.05188,0.32197,-1.55521,1.45039,1.13407,-1.37983,-0.52593,0,0,0,0,0
80,-0.95197,0.48246,-0.61113,-0.09765,-1.10702,0.91093,0.96248,1.65653,-0.01729,1.30612,0.52975,0.07987,2,0,0,0,1
81,0.49788,-0.48246,-0.05921,0.96082,-0.31685,-1.69163,0.63779,-0.17779,-0.15487,-0.65253,0.88113,-0.21575,0,0,0,0,0
82,-0.95197,-0.48246,-0.61113,0.96082,0.1144,-0.58016,-0.43999,-0.71727,-0.76096,-1.64101,1.29221,0.7654,1,0,0,2,0
83,-0.95197,-0.48246,-1.22751,0.96082,-0.31685,1.13281,1.74091,0.29338,0.76096,-1.0145,0.19268,1.2247,2,0,0,0,1
84,1.09449,0.48246,0.45468,0.96082,-0.31685,-1.05308,0.16767,-0.97631,0.76096,0.58489,0.19268,-1.54858,0,0,0,0,0
85,-0.95197,-0.48246,-0.05921,0.24923,-1.10702,-2.05048,0.32197,1.43533,-0.30172,-0.40581,1.29221,1.92173,2,0,0,1,0
86,1.09449,-0.48246,0.45468,0.96082,-1.10702,0.73545,-1.37639,-0.45174,-0.60633,-1.78169,0.19268,0.40148,2,0,2,2,1
87,1.09449,0.48246,-0.05921,0.96082,-0.31685,-1.86962,-0.30033,-1.42424,1.45039,2.04506,-0.71126,-0.52593,0,0,0,0,0
88,1.09449,0.48246,-0.05921,0.96082,-0.31685,-0.92104,0.80523,-0.97631,2.75696,1.13407,-1.37983,-2.07848,0,0,0,0,0
89,1.09449,-0.48246,-1.7379,0.96082,-1.10702,0.22393,-1.09207,-0.45174,-1.6209,-0.65253,1.86203,1.2247,2,0,0,0,0
90,-0.07854,0.48246,-1.43719,-0.57009,-0.31685,-0.92104,-0.43999,-0.45174,-1.92595,-2.04506,0.88113,-0.21575,1,0,0,0,0
91,1.09449,-0.48246,-0.05921,0.96082,-0.31685,-0.24649,0.16767,-1.42424,-0.30172,2.33337,-0.71126,-1.18084,0,0,0,0,0
92,-0.07854,0.48246,1.16365,-0.57009,0.1144,-0.67825,0.47617,1.88511,-2.78793,-1.25773,1.86203,1.92173,1,0,0,1,0
93,0.49788,0.48246,-0.05921,0.96082,-0.31685,-0.05188,-0.57545,-2.21069,0.76096,-1.5184,0.88113,0.07987,0,0,0,0,0
94,0.49788,0.48246,-0.61113,0.96082,-0.31685,0.04257,-0.30033,-0.97631,1.81866,1.63088,-1.37983,-2.07848,0,0,0,0,0
95,-0.07854,0.48246,0.45468,0.96082,-0.31685,0.52135,-0.80615,1.24033,-1.6209,-1.13788,0.88113,0.40148,0,0,0,0,0
96,0.49788,0.48246,-0.05921,0.96082,-0.31685,-0.46725,-0.15487,-0.97631,1.11406,-0.65253,-1.37983,-1.18084,0,0,0,0,0
97,-0.95197,0.48246,-0.61113,-0.57009,-0.31685,-0.79151,-0.43999,0.29338,-0.76096,-0.14277,1.86203,-0.21575,2,0,0,1,0
98,1.09449,0.48246,1.16365,0.96082,-0.31685,-0.05188,0.00332,0.14143,0.94156,0.93949,0.19268,0.40148,0,0,0,0,0
99,0.49788,0.48246,1.98437,0.96082,0.1144,0.22393,1.74091,-0.01928,0.59042,2.63199,0.88113,-0.21575,1,0,0,0,0
100,0.49788,0.48246,0.45468,-0.57009,-1.10702,-0.79151,-1.09207,0.29338,-0.30172,1.30612,-0.21712,-0.21575,2,0,0,1,0
101,-0.95197,-0.48246,0.45468,-0.57009,0.1144,0.91093,-0.94779,0.14143,0.76096,-0.65253,-0.21712,1.2247,1,1,1,1,1
102,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,1.37297,0.16767,2.15324,-0.30172,-0.00665,0.88113,0.40148,2,1,1,0,1
103,-0.07854,-0.48246,-0.61113,-0.57009,-1.10702,1.02119,-0.43999,0.58331,-0.76096,-0.52745,0.88113,1.2247,2,1,1,0,1
104,-0.07854,0.48246,0.45468,0.96082,0.1144,-0.79151,-0.30033,0.88309,0.43852,-0.00665,0.19268,0.07987,1,0,0,0,0
105,-0.07854,-0.48246,-0.05921,-0.57009,-1.10702,-0.58016,-0.15487,0.7233,-1.772,-0.40581,-0.21712,-0.21575,2,0,1,1,0
106,1.09449,0.48246,-1.7379,0.96082,-0.31685,0.04257,-0.15487,-1.27553,2.46262,0.58489,-1.37983,-2.07848,0,0,0,0,0
107,1.09449,0.48246,0.45468,0.96082,-0.31685,-0.46725,0.32197,-0.58331,-0.15487,1.13407,-1.37983,-2.07848,0,0,0,0,0
108,-0.07854,-0.48246,1.16365,-0.28519,-1.10702,1.02119,2.57309,0.58331,-1.47955,-0.40581,-0.21712,1.2247,2,0,1,0,1
109,-0.95197,0.48246,-0.61113,-0.57009,0.1144,0.31287,-1.23177,1.06238,-0.30172,-2.30408,0.88113,-0.21575,1,0,0,0,0
110,-0.07854,0.48246,0.45468,-0.57009,-0.31685,-0.24649,-1.37639,1.88511,0.76096,-1.0145,0.19268,-1.18084,0,0,0,1,0
111,1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.79151,0.80523,-0.01928,-0.01729,0.41594,-1.37983,-1.54858,0,0,0,0,0
112,-0.07854,0.48246,1.16365,0.96082,-0.31685,-2.05048,-0.69509,-0.97631,-0.45321,2.04506,-1.37983,-0.84637,0,0,0,0,0
113,-0.07854,0.48246,1.16365,0.96082,-1.10702,1.8399,0.63779,0.7233,1.61108,0.25953,-0.21712,1.92173,2,1,1,1,2
114,-0.07854,-0.48246,-1.7379,-0.57009,0.1144,0.41667,-0.15487,-0.17779,-0.15487,-0.52745,0.19268,0.7654,1,0,0,1,0
115,0.49788,-0.48246,1.16365,0.96082,-0.31685,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.84637,1,0,1,0,1
116,1.09449,-0.48246,0.45468,0.96082,-0.31685,-1.55078,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,0,0,0,0,0
117,1.09449,0.48246,0.45468,0.96082,-0.31685,-0.24649,-1.09207,-0.45174,0.13136,0.12331,-1.37983,0.07987,0,0,0,0,0
118,-0.07854,-0.48246,-1.22751,-0.57009,0.1144,-0.46725,-1.23177,-2.39883,-1.07533,-0.78155,1.29221,-0.21575,1,0,0,1,0
119,-0.95197,-0.48246,-1.7379,-0.09765,0.1144,-0.24649,1.2861,0.29338,-1.21213,-0.89891,0.88113,1.92173,1,1,0,1,0
120,1.82213,-0.48246,0.45468,0.96082,-0.31685,-0.46725,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,0,0,0,0,0
121,1.09449,0.48246,-2.43591,-0.09765,-0.31685,0.31287,0.63779,-0.97631,0.94156,0.25953,-1.37983,-2.07848,2,0,0,0,0
122,-0.07854,0.48246,1.16365,0.96082,-0.31685,0.22393,-0.57545,0.14143,0.59042,2.04506,-0.21712,0.07987,0,0,0,0,0
123,1.09449,0.48246,-0.05921,0.96082,-0.31685,0.31287,0.32197,-0.17779,0.94156,1.13407,-0.71126,-0.21575,0,0,0,0,0
124,0.49788,0.48246,0.45468,-0.57009,-1.10702,-1.32828,-0.94779,0.29338,1.11406,-0.89891,0.88113,-0.21575,2,0,0,0,0
125,1.09449,-0.48246,-0.05921,0.96082,-0.31685,-0.34799,0.32197,-0.45174,-0.15487,0.25953,-0.21712,-1.18084,0,0,0,0,0
126,-0.07854,0.48246,1.16365,-0.57009,-1.10702,0.62967,0.63779,-0.45174,-1.21213,-0.78155,0.88113,1.92173,2,1,1,0,1
127,0.49788,-0.48246,-0.61113,0.96082,-0.31685,-0.24649,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,0,0,0,0,0
128,1.09449,0.48246,1.98437,0.96082,0.1144,0.41667,-1.23177,-0.71727,-0.45321,0.58489,-0.71126,-1.54858,1,0,0,0,0
129,-0.95197,-0.48246,-0.61113,-0.09765,-0.31685,0.62967,0.16767,0.58331,-0.45321,-0.00665,0.19268,0.7654,2,2,1,1,1
130,-0.95197,0.48246,-0.61113,0.96082,-0.31685,0.52135,0.63779,-0.31776,0.76096,0.93949,-0.71126,-0.21575,0,0,0,0,0
131,-0.07854,-0.48246,-0.61113,-0.57009,-0.31685,-0.14882,0.32197,1.88511,0.76096,-1.13788,0.88113,0.40148,0,0,0,0,0
132,-0.07854,0.48246,0.45468,-0.28519,-0.31685,-0.46725,-1.6334,0.44585,0.94156,-1.64101,-0.21712,-0.84637,0,0,0,0,0
133,-0.95197,-0.48246,0.45468,0.96082,0.1144,1.02119,-0.43999,0.58331,0.59042,-0.14277,0.19268,0.40148,1,0,1,2,1
134,-0.07854,0.48246,-0.05921,0.96082,-0.31685,0.22393,-0.15487,-1.42424,-0.01729,-0.40581,0.88113,-2.07848,0,0,0,0,0
135,-0.07854,-0.48246,-0.61113,-0.28519,-1.10702,-0.58016,-2.72827,0.14143,-0.01729,-0.14277,0.19268,0.07987,2,0,1,2,0
136,1.09449,0.48246,1.16365,0.96082,-0.31685,-0.79151,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.84637,0,0,0,0,0
137,-0.07854,0.48246,0.45468,0.24923,0.126,0.41667,1.2861,-0.01928,-0.01729,0.41594,-0.71126,-1.18084,0,0,0,0,0
138,-0.95197,-0.48246,-1.22751,-0.28519,-1.10702,0.62967,1.11406,1.65653,1.2861,0.25953,0.88113,1.2247,2,0,0,2,0
139,-0.95197,0.48246,-0.61113,-0.57009,-1.10702,0.04257,-0.30033,-0.71727,0.43852,-0.89891,-0.21712,-0.21575,2,0,0,1,0
140,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,-0.14882,0.63779,-0.31776,-0.60633,-0.27607,0.52975,0.7654,2,1,1,0,0
141,-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.14882,0.80523,-0.97631,1.45039,1.13407,-1.37983,-1.18084,0,0,0,0,0
142,-0.07854,0.48246,0.45468,0.96082,-0.31685,-0.14882,2.8595,1.88511,0.94156,-0.89891,1.86203,1.2247,0,0,0,0,0
143,-0.07854,0.48246,1.16365,0.96082,-0.31685,0.13606,0.80523,-0.58331,1.45039,0.93949,0.19268,-0.84637,0,0,0,0,0
144,0.49788,-0.48246,-1.7379,0.96082,0.1144,0.91093,-1.23177,-0.97631,-1.772,-1.64101,1.86203,1.92173,1,0,0,1,1
145,-0.95197,0.48246,-0.61113,-0.57009,-1.10702,0.22393,-0.94779,0.88309,0.13136,-0.14277,-0.71126,0.40148,2,0,0,0,0
146,1.09449,-0.48246,1.16365,0.96082,-0.31685,-0.24649,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,0,0,0,0,0
147,-0.95197,0.48246,1.16365,0.96082,0.1144,-0.92104,0.80523,-0.97631,0.28783,0.25953,-0.21712,0.40148,1,0,0,0,0
148,0.49788,-0.48246,-0.61113,0.96082,-0.31685,-1.05308,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,0,0,0,0,0
149,0.49788,0.48246,0.45468,0.96082,-0.31685,-1.05308,-0.15487,0.14143,0.13136,0.93949,-1.37983,0.07987,0,0,0,0,0
150,-0.95197,-0.48246,-0.05921,0.96082,-1.10702,-1.55078,0.63779,-0.01928,0.28783,-0.52745,-0.21712,-0.52593,2,0,0,0,0
151,1.82213,-0.48246,1.16365,0.96082,-0.31685,-1.32828,0.00332,-1.42424,0.59042,0.12331,-1.37983,-0.84637,0,0,0,0,0
152,0.49788,0.48246,1.16365,0.96082,-0.31685,-0.24649,1.45421,0.14143,0.28783,1.81175,-1.37983,-1.54858,0,0,0,0,0
153,-0.95197,-0.48246,0.45468,-0.09765,-1.10702,-0.79151,-2.11437,-2.8595,0.94156,-1.38502,-0.71126,-1.18084,2,0,0,0,0
154,-0.07854,0.48246,1.98437,0.96082,-0.31685,0.04257,0.47617,-0.45174,-0.01729,1.30612,0.52975,0.07987,0,0,0,0,0
155,-0.07854,-0.48246,-0.61113,-0.57009,0.1144,2.28554,-1.09207,2.44904,-0.91699,-0.65253,1.29221,0.7654,1,1,1,2,2
156,-0.07854,0.48246,1.16365,0.96082,-0.31685,0.62967,0.32197,0.7233,0.13136,1.13407,-0.21712,-0.52593,1,1,0,1,1
157,0.49788,0.48246,1.16365,0.96082,-0.31685,-0.92104,0.16767,1.43533,1.81866,1.13407,-0.71126,-0.84637,0,0,0,0,0
158,-0.95197,-0.48246,-0.61113,-0.57009,-1.10702,0.41667,-2.03972,1.43533,-0.60633,-2.72827,1.86203,-0.21575,2,0,0,0,0
159,0.49788,0.48246,1.98437,0.96082,-0.31685,-0.24649,0.80523,0.29338,-0.01729,-0.14277,-0.21712,-0.52593,0,0,0,0,0
160,-0.07854,-0.48246,-0.61113,-0.57009,0.1144,-1.32828,0.16767,-0.31776,-0.45321,-0.89891,1.29221,0.7654,1,0,1,0,0
161,1.09449,-0.48246,-0.61113,-0.57009,-0.31685,0.04257,0.00332,0.29338,0.28783,-0.27607,0.88113,1.2247,0,0,0,0,0
162,0.49788,0.48246,-0.05921,0.96082,-0.31685,0.22393,0.47617,-1.42424,-0.91699,0.12331,1.29221,0.7654,0,0,0,0,0
163,1.09449,0.48246,0.45468,0.96082,-0.31685,0.31287,0.00332,-1.27553,-0.15487,0.93949,-0.21712,-1.18084,0,0,0,0,0
164,0.49788,-0.48246,-0.05921,0.96082,-0.31685,0.22393,0.47617,-1.82919,-0.76096,2.04506,-1.37983,-1.54858,0,0,0,0,0
165,-0.07854,0.48246,0.45468,-0.57009,-0.31685,-0.92104,-0.43999,-0.84732,-1.772,-2.04506,0.88113,0.07987,0,0,0,0,0
166,0.49788,0.48246,0.45468,0.96082,-0.31685,-0.67825,-1.50796,-1.82919,0.59042,-1.78169,-0.71126,-1.54858,0,0,0,0,0
167,1.82213,0.48246,-0.61113,0.96082,-0.31685,-0.92104,-0.94779,-1.42424,0.43852,-0.00665,-0.71126,-0.52593,0,0,0,0,0
168,-0.95197,-0.48246,-1.22751,0.24923,-1.10702,0.82562,0.16767,-0.01928,-0.91699,-0.89891,0.52975,0.07987,2,1,1,2,1
169,-0.07854,0.48246,0.45468,0.96082,0.1144,0.41667,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987,1,0,0,0,0
170,-0.95197,0.48246,-2.43591,0.96082,-1.10702,0.04257,-0.15487,-0.31776,1.61108,-0.27607,-0.71126,0.40148,2,0,0,0,0
171,0.49788,0.48246,-1.7379,0.96082,-0.31685,0.22393,0.00332,-1.11902,-0.30172,0.25953,0.19268,-0.21575,0,0,0,0,0
172,-0.07854,0.48246,1.16365,-0.57009,0.1144,-2.05048,1.2861,1.88511,-2.5383,-1.25773,1.29221,1.2247,1,0,0,1,0
173,-0.07854,0.48246,0.45468,0.96082,0.1144,-0.79151,1.11406,0.7233,0.94156,0.93949,-1.37983,-0.21575,1,0,0,1,0
174,1.09449,-0.48246,0.45468,-0.57009,0.1144,-0.79151,0.00332,-0.01928,-0.01729,0.41594,-2.55524,-0.52593,1,0,0,0,0
175,-0.95197,0.48246,-1.22751,-0.57009,-1.10702,0.52135,-0.94779,-0.31776,0.28783,-0.40581,-0.21712,-0.52593,2,0,0,0,0
