card_id,disp_id,type
212,1280,classic
213,1289,gold
214,1292,classic
215,1296,classic
216,1310,junior
217,1316,classic
218,1322,classic
219,1329,classic
220,1333,classic
221,1339,classic
222,1345,classic
223,1353,classic
225,1359,classic
226,1378,classic
227,1380,classic
228,1382,junior
229,1384,classic
230,1388,gold
231,1390,junior
232,1396,classic
233,1418,classic
234,1424,classic
235,1438,classic
236,1440,junior
237,1445,classic
238,1452,gold
239,1453,gold
240,1459,classic
241,1461,classic
242,1473,classic
243,1478,classic
244,1480,classic
245,1483,classic
246,1492,classic
247,1500,junior
248,1512,classic
249,1517,classic
250,1522,classic
251,1525,classic
252,1529,classic
253,1536,gold
254,1578,classic
255,1579,gold
256,1583,classic
257,1589,classic
258,1607,classic
259,1610,classic
260,1616,classic
261,1629,gold
262,1647,junior
263,1668,gold
264,1669,classic
265,1680,classic
266,1690,classic
267,1691,junior
268,1707,gold
269,1718,gold
270,1736,junior
272,1754,junior
273,1758,classic
274,1759,classic
275,1762,classic
276,1765,classic
277,1777,gold
278,1779,classic
279,1791,classic
281,1795,classic
282,1799,gold
283,1800,classic
284,1807,classic
285,1811,gold
286,1812,gold
287,1819,junior
288,1826,classic
289,1831,junior
290,1833,classic
291,1836,classic
292,1842,gold
293,1850,classic
294,1861,classic
295,1864,classic
296,1876,gold
297,1883,classic
298,1885,classic
299,1886,classic
300,1890,classic
301,1899,classic
302,1900,classic
303,1912,classic
305,1914,classic
306,1929,classic
307,1930,gold
308,1938,classic
309,1946,classic
310,1947,junior
311,1954,classic
312,1971,classic
313,1980,classic
314,1999,junior
315,2005,junior
316,2013,classic
317,2015,classic
319,2038,junior
320,2045,classic
321,2058,gold
323,2065,junior
324,2074,classic
325,2102,classic
326,2104,classic
327,2117,classic
328,2121,junior
329,2122,gold
330,2124,classic
331,2125,gold
332,2126,classic
333,2128,classic
334,2133,classic
335,2137,classic
336,2138,junior
338,2146,classic
339,2154,classic
340,2155,classic
341,2156,gold
342,2157,classic
343,2164,classic
344,2168,classic
345,2175,classic
346,2177,classic
347,2184,classic
348,2203,classic
349,2214,classic
350,2226,classic
351,2232,classic
354,2265,gold
356,2268,classic
358,2287,junior
359,2299,classic
360,2308,classic
361,2312,classic
362,2320,gold
363,2324,junior
364,2329,classic
365,2332,classic
366,2335,classic
367,2343,classic
368,2361,classic
369,2363,classic
370,2374,classic
371,2388,gold
372,2395,classic
373,2401,classic
374,2423,classic
375,2425,junior
376,2428,classic
377,2429,classic
379,2431,classic
380,2434,classic
381,2440,classic
382,2445,gold
383,2469,classic
384,2475,junior
385,2476,classic
386,2478,classic
387,2481,classic
388,2488,junior
390,2490,classic
391,2493,classic
392,2496,classic
393,2498,junior
395,2502,classic
396,2508,classic
397,2513,classic
399,2527,classic
400,2529,classic
401,2532,classic
402,2536,classic
403,2538,junior
404,2540,junior
405,2542,classic
406,2548,classic
407,2555,classic
409,2562,classic
410,2569,classic
411,2572,classic
412,2585,classic
415,2609,classic
416,2616,classic
417,2619,classic
419,2626,classic
421,2644,classic
422,2650,junior
423,2657,classic
424,2659,classic
425,2662,junior
427,2688,gold
429,2709,classic
430,2713,classic
431,2715,gold
433,2724,classic
435,2740,classic
437,2762,classic
438,2768,classic
439,2779,classic
440,2782,classic
441,2785,classic
442,2796,classic
443,2808,classic
444,2815,gold
445,2820,gold
447,2845,classic
448,2864,classic
449,2865,classic
450,2880,classic
451,2888,junior
452,2910,classic
453,2911,gold
454,2921,classic
455,2924,classic
456,2929,classic
457,2948,junior
458,2951,gold
459,2958,gold
460,2971,classic
461,2977,gold
462,2978,classic
463,2982,classic
464,2984,classic
465,2995,classic
466,2998,classic
467,3019,classic
468,3023,classic
469,3026,classic
470,3036,classic
471,3037,classic
472,3056,classic
473,3063,classic
474,3066,junior
475,3075,gold
476,3079,classic
477,3082,junior
478,3084,classic
479,3085,classic
480,3092,classic
481,3102,junior
482,3104,junior
483,3115,classic
484,3116,classic
485,3124,classic
486,3128,gold
487,3130,classic
488,3134,gold
489,3135,classic
490,3136,gold
491,3151,classic
492,3166,classic
493,3167,classic
494,3173,classic
495,3181,classic
496,3183,junior
497,3184,classic
498,3186,classic
499,3187,classic
500,3192,classic
501,3197,classic
502,3201,classic
503,3225,classic
504,3230,junior
505,3233,junior
506,3236,gold
507,3245,classic
508,3249,classic
509,3253,gold
510,3256,classic
512,3259,classic
513,3260,classic
514,3267,classic
515,3268,classic
516,3279,classic
518,3292,gold
519,3297,classic
520,3308,classic
521,3310,classic
523,3319,junior
524,3333,classic
525,3337,classic
526,3339,classic
527,3348,junior
528,3356,classic
529,3357,classic
530,3360,classic
531,3378,gold
532,3382,classic
533,3384,classic
534,3387,classic
535,3395,classic
536,3404,classic
537,3405,classic
539,3415,classic
540,3425,classic
541,3427,junior
542,3439,classic
544,3448,gold
545,3458,classic
546,3465,gold
547,3477,classic
548,3501,classic
549,3504,classic
550,3515,classic
553,3522,classic
554,3535,classic
555,3544,classic
557,3567,classic
558,3568,classic
559,3573,classic
560,3577,classic
561,3581,gold
562,3583,classic
563,3589,classic
564,3590,classic
567,3611,classic
568,3615,classic
570,3620,classic
571,3627,junior
572,3636,junior
573,3638,classic
574,3640,junior
575,3667,gold
576,3671,classic
578,3689,junior
579,3699,classic
580,3713,classic
581,3721,classic
582,3733,classic
583,3735,classic
584,3751,classic
585,3753,gold
586,3756,classic
588,3765,classic
589,3766,junior
590,3769,classic
591,3779,classic
592,3782,junior
593,3787,junior
594,3794,junior
596,3811,classic
597,3813,junior
598,3821,classic
599,3824,gold
601,3830,classic
602,3846,junior
603,3850,classic
604,3858,classic
605,3874,classic
606,3883,classic
607,3885,classic
608,3890,classic
609,3893,classic
610,3894,classic
611,3896,classic
613,3913,classic
614,3938,junior
616,3943,classic
617,3944,gold
618,3947,classic
619,3958,classic
620,3959,classic
621,3970,junior
622,3981,junior
624,3985,junior
625,3987,classic
626,3992,classic
627,3994,classic
628,4007,classic
629,4018,junior
630,4019,classic
631,4061,junior
632,4069,classic
633,4078,classic
634,4081,junior
635,4083,classic
636,4091,junior
637,4094,junior
638,4100,gold
639,4112,classic
640,4115,classic
641,4116,classic
642,4137,classic
643,4157,classic
644,4165,classic
645,4166,classic
646,4167,classic
647,4171,junior
648,4188,classic
649,4190,classic
650,4194,classic
651,4201,junior
652,4211,classic
653,4212,classic
654,4230,classic
655,4231,classic
656,4235,classic
657,4246,junior
658,4251,classic
659,4258,classic
660,4265,junior
661,4270,classic
662,4293,classic
663,4295,classic
664,4316,classic
665,4318,classic
666,4328,junior
667,4333,classic
668,4340,classic
669,4341,classic
670,4343,classic
671,4345,classic
672,4349,classic
673,4353,junior
674,4360,classic
675,4376,classic
676,4380,classic
677,4382,junior
678,4405,gold
679,4416,classic
681,4426,classic
682,4429,classic
683,4437,classic
684,4457,classic
685,4467,classic
687,4471,classic
688,4472,classic
689,4473,classic
690,4479,classic
691,4492,classic
692,4493,classic
693,4495,junior
694,4504,classic
695,4507,classic
696,4516,classic
697,4518,classic
698,4522,gold
699,4532,classic
700,4533,junior
701,4534,classic
702,4543,classic
703,4546,classic
704,4553,gold
705,4555,classic
706,4559,gold
707,4560,classic
708,4568,junior
709,4587,junior
710,4588,junior
711,4592,classic
713,4627,classic
714,4638,classic
715,4639,junior
716,4651,junior
717,4654,classic
718,4660,classic
719,4663,classic
720,4674,junior
721,4680,junior
722,4684,classic
723,4699,classic
724,4701,gold
725,4715,junior
726,4721,classic
727,4723,classic
728,4725,classic
729,4740,junior
730,4749,classic
731,4751,classic
732,4763,classic
733,4764,junior
734,4765,classic
735,4772,classic
736,4789,classic
737,4791,classic
738,4808,junior
739,4821,classic
740,4823,junior
741,4832,classic
742,4833,classic
743,4862,gold
744,4863,classic
746,4901,classic
747,4915,classic
748,4923,classic
749,4929,classic
751,4941,junior
752,4944,junior
753,4974,classic
754,4976,junior
755,5002,classic
756,5012,classic
757,5013,junior
758,5016,classic
759,5117,junior
760,5126,classic
761,5128,gold
762,5132,classic
763,5138,junior
764,5159,classic
765,5175,classic
766,5200,classic
767,5204,classic
768,5223,classic
771,5233,classic
772,5243,classic
774,5249,classic
776,5263,classic
778,5275,classic
779,5323,junior
784,5461,classic
786,5478,classic
841,6468,classic
850,6644,classic
863,6906,classic
939,8217,junior
942,8295,classic
945,8342,junior
977,8968,classic
1039,9837,classic
1070,10490,junior
1076,10604,gold
1093,11011,classic
1095,11023,gold
1102,11183,classic
1164,12269,classic
1188,12678,classic
1189,12683,classic
1192,12736,classic
1217,13098,junior
