loan_id,account_id,date,amount,duration,payments,target
5212,1256,1995-05-29,71064,36,1974,0
5214,1270,1997-07-01,74772,36,2077,2
5221,1284,1998-12-05,52512,12,4376,2
5226,1318,1998-10-11,185544,36,5154,2
5229,1329,1997-09-06,23520,12,1960,0
5236,1374,1997-09-15,389136,48,8107,2
5237,1375,1995-08-29,45336,24,1889,0
5245,1407,1998-01-17,125472,24,5228,2
5253,1447,1997-06-03,100080,48,2085,2
5260,1480,1998-01-19,123300,36,3425,2
5265,1498,1998-10-07,165780,60,2763,2
5269,1527,1994-11-19,164052,36,4557,1
5270,1528,1997-07-21,191088,48,3981,2
5287,1638,1998-01-26,64224,24,2676,2
5293,1656,1998-10-29,189792,48,3954,2
5301,1698,1996-07-06,141948,36,3943,2
5311,1766,1996-06-15,30060,60,501,2
5313,1776,1998-05-27,43200,24,1800,2
5314,1787,1993-07-05,96396,12,8033,1
5316,1801,1993-07-11,165960,36,4610,0
5319,1811,1994-06-23,239460,60,3991,2
5325,1843,1993-08-03,105804,36,2939,0
5329,1862,1996-10-16,396120,60,6602,2
5332,1869,1998-01-29,37944,36,1054,2
5337,1886,1996-07-31,162468,36,4513,2
5338,1888,1997-08-30,57360,12,4780,1
5346,1928,1998-12-06,55632,24,2318,2
5350,1967,1996-04-21,249312,48,5194,2
5351,1978,1994-12-04,205200,36,5700,0
5352,1993,1995-04-15,68400,12,5700,1
5354,2000,1998-07-14,290820,60,4847,2
5358,2018,1997-01-21,38520,12,3210,0
5360,2035,1998-01-25,176328,36,4898,2
5363,2051,1997-04-22,293880,60,4898,3
5366,2062,1996-10-29,86184,12,7182,0
5367,2064,1997-08-26,83628,36,2323,2
5369,2080,1997-09-12,214596,36,5961,2
5382,2134,1997-03-17,22932,36,637,2
5385,2143,1996-09-09,71460,36,1985,2
5389,2165,1997-08-22,78600,24,3275,2
5390,2167,1994-10-30,170256,24,7094,0
5413,2227,1995-12-12,92976,24,3874,0
5414,2228,1995-03-29,185952,48,3874,2
5415,2236,1996-09-26,139464,36,3874,3
5418,2245,1995-01-16,347952,48,7249,2
5420,2247,1997-02-24,72504,24,3021,2
5428,2262,1998-12-02,230220,36,6395,2
5429,2268,1996-07-18,20196,36,561,2
5435,2279,1998-06-01,314688,48,6556,2
5445,2322,1996-06-29,46320,24,1930,0
5446,2334,1997-08-04,48312,24,2013,2
5449,2343,1995-11-04,99336,24,4139,0
5450,2345,1994-12-11,199680,60,3328,2
5451,2350,1997-05-11,159744,48,3328,2
5452,2352,1996-04-29,49440,60,824,2
5464,2419,1995-01-30,95808,12,7984,0
5469,2445,1997-12-26,293160,60,4886,2
5479,2486,1994-01-10,24516,12,2043,0
5491,2545,1998-02-13,428784,48,8933,2
5494,2572,1996-06-13,360000,48,7500,2
5495,2580,1996-08-02,89340,60,1489,2
5501,2622,1998-05-21,136344,24,5681,2
5519,2694,1994-03-08,91632,12,7636,0
5520,2699,1998-08-30,231168,48,4816,2
5523,2705,1993-12-08,93888,36,2608,0
5525,2720,1998-04-27,93888,36,2608,2
5526,2725,1998-11-08,69624,36,1934,2
5527,2728,1998-06-15,156420,60,2607,2
5531,2753,1997-09-30,66432,24,2768,2
5532,2754,1997-05-04,335280,48,6985,2
5549,2824,1994-07-16,50460,60,841,2
5556,2872,1997-05-19,268320,60,4472,2
5561,2910,1998-08-29,437460,60,7291,2
5563,2912,1996-02-29,380160,60,6336,2
5569,2936,1998-01-20,504000,60,8400,2
5584,2986,1997-12-06,24792,24,1033,2
5585,2988,1998-07-08,88608,12,7384,2
5586,2994,1996-09-14,48744,36,1354,2
5589,3005,1998-06-05,390000,48,8125,2
5591,3021,1996-12-04,155616,48,3242,2
5593,3037,1996-04-18,277884,36,7719,3
5595,3050,1994-09-02,82896,12,6908,0
5599,3064,1995-03-21,15420,12,1285,0
5611,3115,1996-11-15,321180,60,5353,2
5616,3143,1998-05-15,130896,24,5454,2
5624,3166,1995-01-03,177744,48,3703,3
5634,3229,1997-05-01,39024,12,3252,0
5638,3249,1997-08-27,68124,12,5677,0
5643,3273,1997-09-21,94512,12,7876,1
5644,3293,1998-11-27,276084,36,7669,2
5651,3329,1997-12-08,19248,12,1604,0
5656,3353,1997-02-09,146064,24,6086,2
5665,3390,1998-03-11,40632,12,3386,2
5674,3418,1997-06-10,207264,48,4318,2
5681,3448,1997-10-20,68664,24,2861,2
5682,3455,1997-03-07,67464,12,5622,0
5683,3460,1998-05-29,140688,48,2931,2
5693,3489,1995-08-01,44088,24,1837,0
5699,3562,1998-05-24,174960,24,7290,2
5706,3608,1996-05-24,161496,36,4486,2
5713,3629,1995-05-30,158760,60,2646,2
5719,3664,1997-09-20,271584,48,5658,2
5723,3674,1994-09-10,23628,12,1969,0
5724,3678,1995-02-05,316140,60,5269,3
5725,3679,1996-07-23,444864,48,9268,2
5741,3754,1996-11-03,68544,24,2856,0
5750,3804,1996-02-08,63252,12,5271,0
5754,3834,1994-09-28,23052,12,1921,0
5758,3859,1997-05-02,307200,60,5120,3
5772,3906,1998-03-08,334620,60,5577,2
5773,3907,1998-03-16,133848,24,5577,2
5774,3916,1998-07-12,96984,36,2694,2
5779,3942,1997-10-14,107352,36,2982,2
5784,3967,1997-03-29,84600,36,2350,3
5790,4033,1997-03-20,84288,48,1756,2
5799,4052,1997-12-28,106128,36,2948,2
5805,4081,1995-11-28,137904,24,5746,1
5808,4099,1997-07-31,41856,48,872,2
5815,4116,1998-06-03,151200,36,4200,2
5817,4127,1997-08-15,100800,24,4200,3
5830,4190,1997-08-28,405780,60,6763,2
5841,4268,1998-11-04,41988,12,3499,2
5850,4293,1997-05-22,164196,36,4561,2
5856,4320,1997-08-09,51360,12,4280,1
5861,4337,1994-12-08,51408,24,2142,0
5862,4342,1997-12-09,100128,24,4172,2
5865,4354,1998-10-30,327660,60,5461,2
5868,4361,1997-03-29,90156,12,7513,0
5877,4414,1995-02-23,97224,24,4051,0
5880,4423,1995-10-31,73836,36,2051,0
5882,4427,1994-09-26,87816,12,7318,0
5886,4447,1996-10-31,192744,36,5354,2
5887,4448,1994-10-03,192744,36,5354,0
5889,4456,1998-02-09,321240,60,5354,2
5892,4462,1996-05-14,66480,24,2770,1
5900,4503,1996-01-01,135360,48,2820,2
5906,4533,1998-05-05,81144,36,2254,2
5918,4576,1994-06-04,300204,36,8339,0
5923,4585,1996-10-10,64656,48,1347,2
5930,4616,1998-01-12,66696,24,2779,2
5931,4618,1997-03-17,66696,24,2779,3
5932,4626,1997-06-18,33348,12,2779,0
5933,4631,1997-12-13,87528,24,3647,2
5938,4650,1996-08-25,402000,60,6700,2
5940,4660,1997-05-28,106944,24,4456,2
5953,4715,1997-03-14,97176,24,4049,2
5959,4727,1995-08-11,107640,24,4485,0
5963,4746,1997-09-07,204780,60,3413,2
5970,4774,1995-07-09,465072,48,9689,2
5973,4784,1997-11-24,219456,48,4572,2
5976,4794,1997-12-27,465504,48,9698,3
5980,4825,1995-08-18,21396,12,1783,0
5988,4851,1996-08-22,141648,24,5902,0
5989,4852,1996-03-04,213300,36,5925,2
5991,4858,1998-07-27,335184,48,6983,3
5992,4863,1997-03-18,76080,12,6340,0
6006,4948,1996-11-15,359760,60,5996,2
6007,4949,1997-08-30,289920,48,6040,2
6010,4969,1997-03-06,150180,60,2503,2
6012,4994,1996-08-03,258444,36,7179,2
6013,4995,1996-02-03,128988,36,3583,3
6019,5033,1996-07-25,11400,12,950,0
6043,5126,1996-01-11,20352,48,424,2
6044,5133,1998-01-27,57060,12,4755,2
6052,5164,1998-03-23,22356,36,621,2
6054,5180,1998-07-16,58764,12,4897,2
6064,5215,1994-08-04,14628,12,1219,0
6072,5256,1994-05-10,193968,36,5388,0
6073,5263,1996-11-12,276300,60,4605,2
6075,5267,1997-11-26,129312,24,5388,3
6077,5270,1993-11-22,79608,24,3317,0
6083,5305,1998-03-31,240528,48,5011,2
6095,5358,1997-01-24,68340,60,1139,2
6097,5362,1997-08-21,202848,48,4226,2
6104,5395,1997-09-05,158184,36,4394,2
6109,5422,1996-06-03,368880,60,6148,2
6111,5428,1993-09-24,174744,24,7281,1
6112,5442,1994-06-17,174744,24,7281,1
6113,5445,1997-10-01,78696,36,2186,2
6118,5477,1997-10-04,349392,48,7279,2
6120,5481,1994-09-11,209184,48,4358,0
6130,5541,1996-07-18,32640,48,680,2
6136,5572,1998-04-19,140880,60,2348,2
6137,5574,1996-04-10,44628,12,3719,0
6142,5591,1997-01-21,221880,60,3698,2
6144,5593,1996-08-09,44376,12,3698,0
6147,5602,1997-12-28,177504,48,3698,2
6150,5622,1994-11-02,83016,12,6918,0
6151,5628,1995-04-25,225420,60,3757,2
6153,5632,1995-07-25,285600,60,4760,2
6157,5650,1995-07-10,98592,24,4108,0
6169,5700,1995-03-16,103680,60,1728,3
6173,5724,1997-01-08,232560,48,4845,2
6175,5735,1996-02-21,290700,60,4845,3
6178,5742,1995-12-16,232560,48,4845,2
6190,5794,1996-05-06,123600,60,2060,2
6196,5837,1997-09-14,177804,36,4939,2
6202,5891,1994-04-18,65184,12,5432,0
6207,5912,1998-06-23,184620,60,3077,2
6210,5927,1994-06-06,87216,48,1817,1
6215,5944,1998-06-18,78720,48,1640,2
6216,5952,1994-09-30,141240,24,5885,0
6227,6030,1995-03-04,28248,24,1177,0
6228,6034,1993-12-01,464520,60,7742,1
6232,6051,1994-07-08,276660,36,7685,1
6234,6061,1998-05-28,5148,12,429,2
6235,6062,1998-04-19,321360,60,5356,2
6237,6075,1998-01-06,407952,48,8499,3
6239,6083,1997-09-28,360864,48,7518,3
6253,6148,1994-11-04,59760,24,2490,0
6254,6157,1997-12-28,247920,48,5165,2
6272,6226,1994-12-20,398640,60,6644,2
6279,6273,1994-06-07,87360,24,3640,0
6283,6289,1996-08-11,85632,48,1784,2
6296,6358,1996-08-06,270384,48,5633,2
6297,6363,1994-10-25,17508,12,1459,0
6302,6397,1996-09-16,181020,60,3017,2
6306,6425,1994-12-20,36684,12,3057,0
6309,6434,1996-11-11,110136,24,4589,0
6310,6440,1997-06-17,34572,12,2881,0
6315,6472,1995-02-06,43164,12,3597,0
6316,6473,1994-05-26,76908,12,6409,1
6321,6505,1998-10-08,38496,12,3208,2
6336,6555,1994-03-31,212400,36,5900,0
6342,6609,1995-11-12,60156,36,1671,1
6346,6649,1997-05-22,100260,60,1671,2
6350,6678,1997-07-09,294384,48,6133,2
6353,6686,1997-12-25,116496,24,4854,2
6354,6688,1996-10-23,22968,36,638,2
6355,6699,1997-09-24,127200,48,2650,2
6356,6701,1993-12-08,95400,36,2650,0
6358,6715,1995-01-14,137880,60,2298,3
6362,6738,1995-10-31,37908,12,3159,0
6386,6856,1997-04-30,124344,36,3454,2
6399,6902,1997-12-21,49320,36,1370,2
6402,6922,1998-12-06,139488,24,5812,2
6403,6924,1995-12-05,194880,48,4060,2
6415,6950,1997-02-12,475680,48,9910,2
6421,6985,1996-07-25,96768,36,2688,2
6435,7045,1997-06-16,288720,48,6015,2
6436,7049,1998-05-22,495180,60,8253,2
6442,7082,1998-02-08,194160,48,4045,2
6450,7099,1998-06-10,234336,48,4882,2
6456,7123,1993-12-09,47016,12,3918,0
6461,7136,1996-09-19,74124,36,2059,2
6464,7156,1998-04-16,49488,24,2062,2
6468,7176,1997-11-30,203940,60,3399,2
6469,7180,1998-11-17,99744,24,4156,2
6470,7181,1998-05-17,49872,12,4156,2
6471,7184,1996-08-04,155640,24,6485,0
6474,7190,1995-06-06,63360,60,1056,2
6486,7240,1998-01-15,152160,60,2536,2
6495,7274,1998-03-12,49044,12,4087,2
6499,7401,1994-01-05,80952,24,3373,0
6501,7418,1996-04-29,30276,12,2523,1
6502,7424,1997-12-08,30276,12,2523,0
6508,7437,1998-04-19,110736,48,2307,2
6509,7445,1994-03-15,55368,24,2307,0
6512,7454,1994-05-26,63312,48,1319,0
6520,7485,1994-03-16,91200,24,3800,0
6526,7523,1995-01-03,288468,36,8013,0
6534,7542,1997-10-19,590820,60,9847,2
6535,7546,1995-11-02,41952,12,3496,0
6540,7562,1995-12-31,309600,48,6450,2
6544,7594,1997-12-11,130464,48,2718,2
6545,7606,1995-12-12,191880,60,3198,2
6546,7607,1995-03-27,31728,24,1322,0
6550,7614,1996-05-18,320592,48,6679,2
6554,7637,1997-01-29,390096,48,8127,2
6569,7721,1998-05-28,45456,12,3788,2
6571,7733,1998-05-12,140064,24,5836,2
6574,7745,1997-12-20,77544,36,2154,2
6577,7753,1994-03-11,51696,24,2154,0
6580,7769,1994-05-22,196080,48,4085,0
6585,7795,1996-10-29,372120,60,6202,2
6591,7819,1995-02-02,20832,48,434,2
6594,7824,1994-09-28,189696,24,7904,1
6596,7844,1994-06-25,91584,24,3816,0
6598,7857,1995-01-18,68112,12,5676,0
6612,7907,1997-08-31,97392,12,8116,0
6613,7926,1996-09-22,84120,24,3505,0
6621,7957,1997-06-14,42900,12,3575,0
6632,7990,1998-04-23,144960,48,3020,2
6642,8027,1994-06-05,77640,12,6470,0
6643,8038,1998-01-18,35856,24,1494,2
6644,8039,1996-10-20,93600,24,3900,0
6645,8041,1994-11-06,140400,36,3900,0
6647,8051,1994-06-01,208320,48,4340,0
6650,8073,1994-02-17,49320,12,4110,1
6655,8085,1997-10-17,260400,60,4340,3
6659,8092,1996-02-20,56100,60,935,2
6665,8114,1997-08-15,99300,60,1655,2
6667,8127,1996-07-15,155880,24,6495,0
6675,8158,1997-11-01,238716,36,6631,2
6676,8159,1995-06-13,29784,24,1241,0
6686,8260,1994-08-25,224604,36,6239,0
6687,8261,1993-09-13,87840,24,3660,0
6688,8268,1997-09-26,8616,24,359,2
6696,8321,1994-05-09,89040,60,1484,2
6698,8327,1996-03-10,247728,48,5161,2
6699,8330,1994-03-30,7656,24,319,0
6705,8381,1997-07-25,333648,48,6951,3
6715,8411,1996-05-06,220620,60,3677,2
6721,8475,1994-01-21,21072,24,878,0
6725,8489,1995-06-23,265320,36,7370,0
6736,8558,1994-06-14,288360,60,4806,2
6737,8564,1995-03-11,76680,24,3195,0
6738,8566,1994-09-29,230220,36,6395,1
6745,8625,1995-04-10,47304,24,1971,0
6746,8639,1998-06-06,185640,60,3094,2
6751,8680,1996-07-14,85716,36,2381,2
6755,8713,1998-07-24,170700,60,2845,2
6758,8742,1997-07-29,33144,12,2762,0
6763,8772,1997-06-19,88272,48,1839,2
6764,8776,1995-08-26,33984,48,708,2
6790,8919,1998-06-08,76104,24,3171,2
6791,8926,1998-01-23,566640,60,9444,2
6793,8931,1997-01-30,186300,60,3105,2
6805,8972,1996-12-21,45024,48,938,2
6810,9006,1996-06-08,186384,48,3883,2
6817,9024,1996-10-04,70656,48,1472,2
6818,9030,1996-12-12,155616,48,3242,2
6819,9031,1997-05-03,50112,24,2088,2
6836,9093,1994-08-03,189300,60,3155,2
6851,9138,1997-06-03,272220,60,4537,3
6855,9153,1998-03-01,52236,36,1451,2
6857,9159,1998-06-08,69600,48,1450,2
6861,9179,1998-02-28,215040,60,3584,2
6866,9201,1998-02-05,122472,24,5103,2
6872,9227,1998-04-29,191580,60,3193,2
6875,9235,1997-03-13,83280,48,1735,2
6876,9236,1993-12-21,86616,12,7218,0
6878,9242,1997-01-24,23184,12,1932,0
6888,9265,1994-07-11,39576,12,3298,0
6895,9307,1994-09-19,41904,12,3492,0
6903,9337,1994-06-04,52128,24,2172,0
6908,9353,1997-06-08,188616,24,7859,2
6919,9403,1994-08-05,120888,36,3358,0
6921,9422,1996-10-29,86184,12,7182,0
6922,9424,1997-08-26,83628,36,2323,2
6923,9433,1998-10-05,44640,24,1860,2
6926,9455,1998-02-07,374760,60,6246,2
6929,9472,1995-05-08,36396,12,3033,0
6932,9491,1998-06-25,225504,48,4698,2
6933,9493,1995-09-09,188688,48,3931,2
6934,9494,1997-02-09,116832,12,9736,0
6938,9504,1997-03-10,341280,60,5688,2
6944,9548,1996-11-15,46176,48,962,2
6948,9560,1998-03-15,157068,36,4363,2
6949,9583,1995-12-12,104712,24,4363,0
6950,9591,1995-04-11,104712,24,4363,0
6955,9627,1995-11-22,244368,48,5091,2
6956,9631,1997-11-09,59448,24,2477,2
6959,9633,1997-06-30,59448,24,2477,3
6961,9645,1996-06-06,176148,36,4893,2
6969,9673,1998-09-12,88200,36,2450,2
6970,9677,1997-06-17,31620,60,527,2
6985,9731,1995-11-22,113796,36,3161,0
6986,9750,1995-02-11,151728,48,3161,3
6992,9790,1996-07-27,133968,48,2791,2
6995,9814,1996-09-26,96168,12,8014,0
6998,9833,1994-05-21,97632,12,8136,0
7004,9869,1995-03-15,331560,60,5526,2
7008,9897,1995-09-22,36168,12,3014,0
7013,9928,1996-08-02,89340,60,1489,2
7035,10005,1998-07-29,210744,36,5854,2
7036,10019,1996-09-25,194940,36,5415,2
7037,10022,1998-01-03,218064,48,4543,2
7046,10049,1997-03-28,91632,12,7636,0
7049,10063,1997-06-24,233424,36,6484,2
7050,10065,1997-09-23,311232,48,6484,2
7055,10079,1994-04-06,167100,60,2785,2
7057,10093,1995-10-20,231696,36,6436,0
7061,10105,1994-08-27,121896,24,5079,0
7067,10134,1998-01-11,136368,24,5682,2
7072,10148,1998-01-27,22104,12,1842,2
7085,10202,1997-06-19,305424,48,6363,2
7087,10215,1997-02-20,44304,24,1846,2
7100,10280,1997-12-31,348120,60,5802,2
7101,10297,1996-11-18,421008,48,8771,2
7115,10351,1997-03-04,88704,48,1848,2
7130,10411,1996-12-11,123408,24,5142,0
7137,10439,1994-06-03,151560,24,6315,0
7138,10440,1995-07-03,60000,60,1000,2
7142,10451,1994-12-19,482940,60,8049,3
7147,10478,1998-01-02,267600,48,5575,2
7164,10613,1998-08-15,249792,48,5204,2
7166,10630,1995-06-24,198240,24,8260,0
7171,10650,1998-02-24,196224,48,4088,2
7172,10652,1998-05-07,45720,12,3810,2
7176,10663,1995-10-28,260028,36,7223,0
7181,10679,1997-10-02,197808,24,8242,2
7187,10711,1997-12-24,24180,60,403,2
7189,10728,1996-03-21,154656,48,3222,2
7194,10762,1996-09-17,68832,36,1912,2
7198,10788,1994-08-23,45768,12,3814,0
7199,10789,1997-12-09,45768,12,3814,0
7201,10807,1997-03-07,67464,12,5622,0
7202,10812,1998-05-29,140688,48,2931,2
7209,10857,1997-11-30,385560,60,6426,3
7213,10884,1996-02-13,113544,36,3154,2
7219,10905,1997-08-23,57120,48,1190,2
7220,10911,1994-07-28,131292,36,3647,0
7226,10940,1994-02-23,197748,36,5493,0
7227,10942,1995-10-02,314520,60,5242,2
7230,10954,1997-04-02,18720,60,312,2
7233,10963,1996-12-25,115812,36,3217,2
7235,10973,1993-10-13,154416,48,3217,0
7240,11013,1993-09-06,274740,60,4579,0
7241,11021,1995-03-04,168984,24,7041,1
7242,11027,1997-10-23,48096,24,2004,2
7246,11054,1996-08-20,148920,60,2482,2
7249,11065,1994-06-12,69360,48,1445,0
7250,11069,1997-03-04,119136,48,2482,2
7253,11079,1997-04-26,98304,12,8192,0
7255,11096,1997-06-09,213300,60,3555,2
7262,11135,1994-03-01,182628,36,5073,0
7263,11138,1996-01-19,89880,24,3745,0
7264,11141,1997-10-07,44940,12,3745,0
7271,11186,1996-10-02,392460,60,6541,2
7277,11231,1997-10-24,89280,12,7440,0
7284,11265,1993-09-15,52788,12,4399,0
7286,11271,1997-01-31,67320,36,1870,2
7292,11317,1998-11-22,317460,60,5291,2
7294,11327,1998-09-27,39168,24,1632,2
7295,11328,1998-07-18,280440,60,4674,2
7305,11359,1996-08-06,54024,12,4502,0
7308,11362,1996-12-27,129408,24,5392,0
